Unnamed: 0,GNB,CIN
First Downs,27,19
Rush-Yds-TDs,30-182-1,24-82-2
Cmp-Att-Yd-TD-INT,26-43-244-1-2,20-28-235-2-1
Sacked-Yards,4-27,4-20
Net Pass Yards,217,215
Total Yards,399,297
Fumbles-Lost,2-2,5-3
Turnovers,4,4
Penalties-Yards,4-55,5-43
Third Down Conv.,4-13,4-11
Fourth Down Conv.,0-2,0-0
Time of Possession,31:51,28:09
