Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 64 yards, returned by Andre Roberts for 75 yards (tackle by Armani Watts)",,
1,14:46,1,10,KAN 24,0,0,Austin Ekeler left guard for 4 yards (tackle by Frank Clark and Anthony Hitchens),,
1,14:12,2,6,KAN 20,0,0,Austin Ekeler left end for 15 yards (tackle by Anthony Hitchens),,
1,13:47,1,5,KAN 5,0,0,Justin Herbert pass incomplete short left intended for Mike Williams,,
1,13:44,2,5,KAN 5,0,0,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Charvarius Ward),,
1,13:37,3,5,KAN 5,0,0,Justin Herbert pass incomplete short left intended for Mike Williams (defended by Nick Bolton),,
1,13:33,4,5,KAN 5,0,0,Justin Herbert pass incomplete short left intended for Donald Parham,,
1,13:27,1,10,KAN 5,0,0,Patrick Mahomes pass complete short right to Tyreek Hill for 12 yards (tackle by Derwin James),,
1,12:55,1,10,KAN 17,0,0,"Patrick Mahomes pass incomplete short right. Penalty on Creed Humphrey: Offensive Holding, 8 yards (accepted) (no play)",,
1,12:49,1,18,KAN 9,0,0,Clyde Edwards-Helaire right guard for 5 yards (tackle by Kyzir White),,
1,12:11,2,13,KAN 14,0,0,Patrick Mahomes pass complete short left to Travis Kelce for 14 yards (tackle by Kyzir White),,
1,11:29,1,10,KAN 28,0,0,Patrick Mahomes pass complete short right to Tyreek Hill for 5 yards (tackle by Chris Harris),,
1,10:53,2,5,KAN 33,0,0,Patrick Mahomes pass complete short left to Byron Pringle for 9 yards (tackle by Tevaughn Campbell),,
1,10:17,1,10,KAN 42,0,0,Patrick Mahomes pass complete short right to Michael Burton for 20 yards (tackle by Kyzir White and Derwin James),,
1,9:38,1,10,LAC 38,0,0,Darrel Williams right end for 11 yards (tackle by Chris Harris),,
1,8:58,1,10,LAC 27,0,0,Patrick Mahomes pass complete short left to Tyreek Hill for 11 yards (tackle by Chris Harris),,
1,8:21,1,10,LAC 16,0,0,Patrick Mahomes pass incomplete deep left intended for Travis Kelce,,
1,8:17,2,10,LAC 16,0,0,Clyde Edwards-Helaire left end for 9 yards (tackle by Derwin James),,
1,7:39,3,1,LAC 7,6,0,"Michael Burton up the middle for 7 yards, touchdown",,
1,7:34,,,LAC 15,7,0,Harrison Butker kicks extra point good,,
1,7:34,,,KAN 35,7,0,"Harrison Butker kicks off 65 yards, touchback.",,
1,7:34,1,10,LAC 25,7,0,Justin Herbert pass complete short right to Austin Ekeler for 9 yards (tackle by Nick Bolton and Charvarius Ward),,
1,6:57,2,1,LAC 34,7,0,Austin Ekeler up the middle for 3 yards (tackle by Derrick Nnadi and Nick Bolton),,
1,6:22,1,10,LAC 37,7,0,Justin Herbert pass incomplete short right intended for Jared Cook (defended by Alex Okafor),,
1,6:16,2,10,LAC 37,7,0,Justin Herbert pass complete short left to Tre' McKitty for 4 yards (tackle by Anthony Hitchens),,
1,5:57,3,6,LAC 41,7,0,Justin Herbert pass complete short left to Stephen Anderson for 12 yards (tackle by Nick Bolton),,
1,5:22,1,10,KAN 48,7,0,Justin Herbert pass short middle (defended by Nick Bolton) intended for Keenan Allen is intercepted by Anthony Hitchens at KC-43 and returned for no gain (tackle by Justin Jackson),,
1,5:18,1,10,KAN 43,7,0,Mecole Hardman left end for no gain (tackle by Kyzir White),,
1,4:40,2,10,KAN 43,7,0,Patrick Mahomes pass complete short middle to Clyde Edwards-Helaire for 12 yards (tackle by Kyzir White),,
1,4:05,1,10,LAC 45,7,0,"Penalty on LAC: Defensive Too Many Men on Field, 5 yards (accepted) (no play)",,
1,3:39,1,5,LAC 40,7,0,Patrick Mahomes pass complete short middle to Travis Kelce for -1 yards (tackle by Justin Jones),,
1,3:08,2,6,LAC 41,7,0,"Clyde Edwards-Helaire right end for 5 yards (tackle by Nasir Adderley). Penalty on Jerry Tillery: Illegal Use of Hands / Defense, 5 yards (accepted)",,
1,2:44,1,10,LAC 31,7,0,Clyde Edwards-Helaire right end for no gain (tackle by Michael Davis and Joey Bosa),,
1,2:01,2,10,LAC 31,7,0,Patrick Mahomes pass complete to Travis Kelce for 17 yards (tackle by Trey Marshall and Tevaughn Campbell),,
1,1:13,1,10,LAC 14,7,0,Darrel Williams up the middle for -1 yards (tackle by Kyzir White and Uchenna Nwosu),,
1,0:38,2,11,LAC 15,7,0,Patrick Mahomes pass complete short right to Tyreek Hill for 4 yards (tackle by Trey Marshall),,
Quarter,Time,Down,ToGo,Location,KAN,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,7,LAC 11,7,0,Patrick Mahomes pass incomplete short left intended for Darrel Williams,,
2,14:51,4,7,LAC 11,10,0,Harrison Butker 30 yard field goal good,,
2,14:48,,,KAN 35,10,0,"Harrison Butker kicks off 65 yards, touchback.",,
2,14:48,1,10,LAC 25,10,0,Justin Jackson left guard for 15 yards (tackle by Charvarius Ward),,
2,14:14,1,10,LAC 40,10,0,Justin Jackson up the middle for 4 yards (tackle by Ben Niemann),,
2,13:40,2,6,LAC 44,10,0,Justin Herbert pass complete short left to Jared Cook for 12 yards (tackle by Nick Bolton and Tyrann Mathieu),,
2,13:01,1,10,KAN 44,10,0,Joshua Kelley right end for 3 yards (tackle by Melvin Ingram and Ben Niemann),,
2,12:25,2,6,KAN 41,10,0,Justin Herbert pass complete short right to Justin Jackson for 13 yards (tackle by Charvarius Ward and Nick Bolton),,
2,11:40,1,10,KAN 28,10,0,Austin Ekeler right guard for 6 yards (tackle by Jarran Reed),,
2,11:02,2,4,KAN 22,10,0,Justin Jackson right guard for 2 yards (tackle by Derrick Nnadi and Charvarius Ward),,
2,10:23,3,2,KAN 20,10,0,Justin Herbert pass complete to Keenan Allen for 15 yards (tackle by Deandre Baker),,
2,10:03,1,5,KAN 5,10,0,Austin Ekeler left guard for 4 yards (tackle by Ben Niemann and Deandre Baker),,
2,9:19,2,1,KAN 1,10,6,"Justin Herbert scrambles for 1 yard, touchdown",,
2,9:12,,,KAN 15,10,7,Dustin Hopkins kicks extra point good,,
2,9:12,,,LAC 35,10,7,"Dustin Hopkins kicks off 69 yards, returned by Byron Pringle for 19 yards (tackle by Davontae Harris). Penalty on Darrel Williams: Offensive Holding, 8 yards (accepted)",,
2,9:07,1,10,KAN 7,10,7,Clyde Edwards-Helaire left tackle for 3 yards (tackle by Chris Rumph and Jerry Tillery),,
2,8:26,2,7,KAN 10,10,7,Patrick Mahomes pass incomplete short left intended for Demarcus Robinson,,
2,8:24,3,7,KAN 10,10,7,Patrick Mahomes pass incomplete deep right intended for Mecole Hardman,,
2,8:19,4,7,KAN 10,10,7,Tommy Townsend punts 32 yards out of bounds,,
2,8:11,1,10,KAN 42,10,7,Joshua Kelley up the middle for 2 yards (tackle by Alex Okafor and Nick Bolton),,
2,7:31,2,8,KAN 40,10,7,Joshua Kelley left tackle for 7 yards (tackle by Frank Clark),,
2,6:50,3,1,KAN 33,10,7,Joshua Kelley left tackle for no gain (tackle by Anthony Hitchens and Nick Bolton),,
2,6:17,4,1,KAN 33,10,7,Justin Herbert up the middle for 2 yards (tackle by Jarran Reed),,
2,5:37,1,10,KAN 31,10,7,Austin Ekeler right end for 9 yards (tackle by Juan Thornhill),,
2,4:57,2,1,KAN 22,10,7,Austin Ekeler right guard for 4 yards (tackle by Ben Niemann),,
2,4:19,1,10,KAN 18,10,7,Andre Roberts right end for 6 yards (tackle by Anthony Hitchens and Charvarius Ward),,
