Quarter,Time,Tm,Detail,KAN,LAC
1,7:34,Chiefs,Michael Burton 7 yard rush (Harrison Butker kick),7,0
2,14:48,Chiefs,Harrison Butker 30 yard field goal,10,0
,9:12,Chargers,Justin Herbert 1 yard rush (Dustin Hopkins kick),10,7
,3:15,Chargers,Jalen Guyton 4 yard pass from Justin Herbert (Dustin Hopkins kick),10,14
3,12:12,Chiefs,Harrison Butker 33 yard field goal,13,14
4,9:29,Chargers,Austin Ekeler 2 yard rush (Dustin Hopkins kick),13,21
,7:44,Chiefs,Tyreek Hill 1 yard pass from Patrick Mahomes (Clyde Edwards-Helaire pass from Patrick Mahomes),21,21
,2:19,Chargers,Keenan Allen 8 yard pass from Justin Herbert (Dustin Hopkins kick),21,28
,1:16,Chiefs,Travis Kelce 7 yard pass from Patrick Mahomes (Harrison Butker kick),28,28
OT,8:45,Chiefs,Travis Kelce 34 yard pass from Patrick Mahomes,34,28
