Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Clyde Edwards-Helaire,KAN,9,32,0,0,20,2.2,12,1.3,0,
Darrel Williams,KAN,5,12,0,1,9,1.8,3,0.6,0,
Patrick Mahomes,KAN,3,32,0,1,31,10.3,1,0.3,0,
Blake Bell,KAN,1,3,0,1,3,3.0,0,0.0,0,
Michael Burton,KAN,1,7,1,1,3,3.0,4,4.0,0,
Mecole Hardman,KAN,1,0,0,,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Justin Jackson,LAC,13,86,0,6,53,4.1,33,2.5,0,
Austin Ekeler,LAC,12,59,1,4,27,2.3,32,2.7,0,
Joshua Kelley,LAC,7,21,0,1,14,2.0,7,1.0,0,
Justin Herbert,LAC,5,16,1,3,15,3.0,1,0.2,0,
Gabe Nabers,LAC,1,4,0,,3,3.0,1,1.0,0,
Andre Roberts,LAC,1,6,0,,4,4.0,2,2.0,0,
