Unnamed: 0,KAN,LAC
First Downs,26,28
Rush-Yds-TDs,20-86-1,39-192-2
Cmp-Att-Yd-TD-INT,31-47-410-3-1,22-39-236-2-1
Sacked-Yards,1-0,0-0
Net Pass Yards,410,236
Total Yards,496,428
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,4-36,5-60
Third Down Conv.,7-12,6-13
Fourth Down Conv.,0-1,2-5
Time of Possession,28:12,33:03
