Unnamed: 0,BAL,JAX
First Downs,8,20
Rush-Yds-TDs,17-53-0,35-133-1
Cmp-Att-Yd-TD-INT,19-33-142-0-3,16-30-211-1-0
Sacked-Yards,4-32,1-6
Net Pass Yards,110,205
Total Yards,163,338
Fumbles-Lost,0-0,0-0
Turnovers,3,0
Penalties-Yards,9-86,5-42
Third Down Conv.,4-14,5-14
Fourth Down Conv.,0-1,0-1
Time of Possession,25:31,34:29
