Quarter,Time,Down,ToGo,Location,BAL,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Aaron Elling kicks off 61 yards, returned by Derrick Wimbush for 44 yards (tackle by Darnell Dinkins)",0.000,2.460
1,14:51,1,10,BAL 47,0,0,Byron Leftwich pass complete to George Wrighster for 2 yards (tackle by Tommy Polley),2.460,2.180
1,14:16,2,8,BAL 45,0,0,Greg Jones up the middle for 5 yards (tackle by Will Demps),2.180,2.150
1,13:33,3,3,BAL 40,0,0,Byron Leftwich pass complete to Matt Jones for 2 yards (tackle by Chad Williams),2.150,0.720
1,12:49,4,1,BAL 38,0,0,Greg Jones right tackle for no gain (tackle by Anthony Weaver),0.720,-1.470
1,12:43,1,10,BAL 38,0,0,Jamal Lewis up the middle for 2 yards (tackle by John Henderson),1.470,1.190
1,12:05,2,8,BAL 40,0,0,Jamal Lewis left tackle for 7 yards (tackle by Daryl Smith),1.190,1.420
1,11:23,3,1,BAL 47,0,0,Jamal Lewis left end for 2 yards (tackle by John Henderson),1.420,2.190
1,10:33,1,10,BAL 49,0,0,Kyle Boller pass complete to Musa Smith for 2 yards (tackle by Deon Grant),2.190,1.920
1,9:56,2,8,JAX 49,0,0,Kyle Boller pass complete to Todd Heap for 9 yards (tackle by Daryl Smith),1.920,2.920
1,9:24,1,10,JAX 40,0,0,Jamal Lewis up the middle for 2 yards (tackle by Daryl Smith),2.920,2.640
1,8:49,2,8,JAX 38,0,0,Jamal Lewis left tackle for 7 yards (tackle by Daryl Smith),2.640,2.870
1,8:15,3,1,JAX 31,0,0,Kyle Boller up the middle for 2 yards (tackle by Reggie Hayward),2.870,3.640
1,7:38,1,10,JAX 29,0,0,Kyle Boller sacked by Bobby McCray for -8 yards,3.640,2.020
1,7:03,,,,0,0,Timeout #1 by Baltimore Ravens,0.000,2.020
