Unnamed: 0,DAL,NYG
First Downs,19,20
Rush-Yds-TDs,16-49-0,31-106-1
Cmp-Att-Yd-TD-INT,29-37-289-2-1,24-33-346-3-0
Sacked-Yards,6-38,2-15
Net Pass Yards,251,331
Total Yards,300,437
Fumbles-Lost,2-1,2-0
Turnovers,2,0
Penalties-Yards,7-43,3-28
Third Down Conv.,4-12,7-15
Fourth Down Conv.,0-1,0-1
Time of Possession,25:27,34:33
