Quarter,Time,Tm,Detail,DAL,NYG
1.0,4:57,Giants,Victor Cruz 74 yard pass from Eli Manning (Lawrence Tynes kick),0,7
2.0,13:27,Giants,Ahmad Bradshaw 5 yard rush (Lawrence Tynes kick),0,14
,1:09,Giants,Ahmad Bradshaw 10 yard pass from Eli Manning (Lawrence Tynes kick),0,21
3.0,6:54,Cowboys,Laurent Robinson 34 yard pass from Tony Romo (Dan Bailey kick),7,21
4.0,10:15,Cowboys,Laurent Robinson 6 yard pass from Tony Romo (Dan Bailey kick),14,21
,5:45,Giants,Lawrence Tynes 28 yard field goal,14,24
,3:41,Giants,Hakeem Nicks 4 yard pass from Eli Manning (Lawrence Tynes kick),14,31
