Unnamed: 0,DEN,SFO
First Downs,21,18
Rush-Yds-TDs,35-201-1,20-71-1
Cmp-Att-Yd-TD-INT,14-19-119-2-0,27-36-205-1-1
Sacked-Yards,4-21,2-15
Net Pass Yards,98,190
Total Yards,299,261
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,3-30,10-114
Third Down Conv.,5-10,8-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:33,29:27
