Unnamed: 0,SFO,NOR
First Downs,12,23
Rush-Yds-TDs,22-81-0,23-92-1
Cmp-Att-Yd-TD-INT,17-31-127-2-1,30-43-305-1-1
Sacked-Yards,3-12,1-10
Net Pass Yards,115,295
Total Yards,196,387
Fumbles-Lost,1-0,3-2
Turnovers,1,3
Penalties-Yards,5-45,4-48
Third Down Conv.,6-15,6-14
Fourth Down Conv.,0-0,0-1
Time of Possession,25:21,34:39
