Quarter,Time,Tm,Detail,GNB,LAR
1.0,6:01,Packers,Jamaal Williams 1 yard rush (Mason Crosby kick),7,0
2.0,14:19,Packers,Mason Crosby 41 yard field goal,10,0
,2:47,Rams,"Safety, Aaron Jones tackled in end zone by Mark Barron",10,2
,0:21,Rams,Josh Reynolds 1 yard pass from Jared Goff,10,8
3.0,9:38,Packers,Mason Crosby 53 yard field goal,13,8
,7:19,Rams,Todd Gurley 30 yard pass from Jared Goff (Todd Gurley pass from Jared Goff),13,16
,1:50,Rams,Josh Reynolds 19 yard pass from Jared Goff (Greg Zuerlein kick),13,23
,0:13,Packers,Aaron Jones 33 yard rush (Mason Crosby kick),20,23
4.0,11:39,Rams,Greg Zuerlein 43 yard field goal,20,26
,8:50,Packers,Marquez Valdes-Scantling 40 yard pass from Aaron Rodgers (Mason Crosby kick),27,26
,2:05,Rams,Greg Zuerlein 34 yard field goal,27,29
