Quarter,Time,Down,ToGo,Location,GNB,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,GNB 25,0,0,Aaron Jones up the middle for 13 yards (tackle by John Johnson),0.610,1.470
1,14:22,1,10,GNB 38,0,0,Aaron Jones right end for 7 yards (tackle by John Johnson),1.470,1.870
1,13:42,2,3,GNB 45,0,0,Aaron Rodgers pass complete short left to Randall Cobb for 10 yards (tackle by Nickell Robey-Coleman and Marcus Peters),1.870,2.590
1,13:00,1,10,LAR 45,0,0,Aaron Rodgers pass incomplete short right intended for Robert Tonyan,2.590,2.040
1,12:57,2,10,LAR 45,0,0,Aaron Jones up the middle for 8 yards (tackle by Mark Barron),2.040,2.410
1,12:14,3,2,LAR 37,0,0,Aaron Rodgers sacked by Cory Littleton for -14 yards,2.410,-0.130
1,11:32,4,16,GNB 49,0,0,"JK Scott punts 51 yards, touchback.",-0.130,-0.280
1,11:26,1,10,LAR 20,0,0,Todd Gurley right end for 7 yards (tackle by Kevin King),0.280,0.680
1,10:51,2,3,LAR 27,0,0,Todd Gurley right tackle for 1 yard (tackle by Nick Perry and Kenny Clark),0.680,0.100
1,10:31,3,2,LAR 28,0,0,Jared Goff pass complete short left to Tyler Higbee for 6 yards (tackle by Jaire Alexander),0.100,1.200
1,9:53,1,10,LAR 34,0,0,Todd Gurley right tackle for 2 yards (tackle by Dean Lowry and Mike Daniels),1.200,0.930
1,9:18,2,8,LAR 36,0,0,Todd Gurley right guard for 4 yards (tackle by Clay Matthews),0.930,0.760
1,8:55,3,4,LAR 40,0,0,Jared Goff sacked by Kenny Clark for -1 yards,0.760,-0.780
1,8:11,4,5,LAR 39,0,0,Johnny Hekker punts 36 yards out of bounds,-0.780,-0.610
1,8:04,1,10,GNB 25,0,0,Jamaal Williams left end for 5 yards (tackle by Mark Barron),0.610,0.740
1,7:24,2,5,GNB 30,0,0,Aaron Rodgers pass incomplete short right intended for Jamaal Williams,0.740,0.040
1,7:18,3,5,GNB 30,0,0,Aaron Rodgers pass complete deep left to Davante Adams for 48 yards (tackle by Lamarcus Joyner),0.040,4.110
1,6:26,1,10,LAR 22,0,0,Aaron Rodgers pass complete deep middle to Jimmy Graham for 21 yards (tackle by Cory Littleton and Lamarcus Joyner),4.110,6.970
1,6:11,1,1,LAR 1,0,0,Aaron Rodgers pass incomplete short right intended for Jimmy Graham,6.970,5.910
1,6:05,2,1,LAR 1,6,0,"Jamaal Williams left guard for 1 yard, touchdown",5.910,7.000
1,6:01,,,LAR 15,7,0,Mason Crosby kicks extra point good,0.000,0.000
