Unnamed: 0,GNB,LAR
First Downs,16,23
Rush-Yds-TDs,19-106-2,34-135-0
Cmp-Att-Yd-TD-INT,18-30-286-1-0,20-36-307-3-0
Sacked-Yards,3-33,5-26
Net Pass Yards,253,281
Total Yards,359,416
Fumbles-Lost,1-1,0-0
Turnovers,1,0
Penalties-Yards,2-10,2-15
Third Down Conv.,2-9,8-18
Fourth Down Conv.,0-0,1-1
Time of Possession,25:50,34:10
