Quarter,Time,Tm,Detail,SEA,STL
1.0,14:46,Rams,Chris Johnson 99 yard kickoff return (Jeff Wilkins kick),0,7
,9:34,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),7,7
,1:37,Seahawks,Jerramy Stevens 29 yard pass from Matt Hasselbeck (Josh Brown kick),14,7
2.0,13:49,Rams,Kevin Curtis 25 yard pass from Marc Bulger (Jeff Wilkins kick),14,14
,9:05,Seahawks,Joe Jurevicius 24 yard pass from Matt Hasselbeck (Josh Brown kick),21,14
,2:02,Rams,Torry Holt 26 yard pass from Marc Bulger (Jeff Wilkins kick),21,21
,0:00,Seahawks,Josh Brown 34 yard field goal,24,21
3.0,9:23,Seahawks,Josh Brown 44 yard field goal,27,21
,6:15,Seahawks,Shaun Alexander 18 yard rush (Josh Brown kick),34,21
,0:26,Rams,Steven Jackson 4 yard rush (Jeff Wilkins kick),34,28
4.0,7:32,Seahawks,Josh Brown 28 yard field goal,37,28
,3:54,Rams,Jeff Wilkins 40 yard field goal,37,31
