Unnamed: 0,SEA,STL
First Downs,26,20
Rush-Yds-TDs,30-134-2,17-77-1
Cmp-Att-Yd-TD-INT,27-38-316-2-0,26-40-336-2-1
Sacked-Yards,4-17,4-27
Net Pass Yards,299,309
Total Yards,433,386
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,7-50,7-74
Third Down Conv.,2-11,3-12
Fourth Down Conv.,0-0,1-1
Time of Possession,30:54,29:06
