Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,DAL 30,0,0,"David Buehler kicks off 75 yards, returned by Andre Roberts for 22 yards (tackle by Sam Hurd)",0.000,-0.060
1,14:55,1,10,ARI 17,0,0,Tim Hightower middle for 1 yard (tackle by Anthony Spencer),-0.060,-0.420
1,14:21,2,9,ARI 18,0,0,John Skelton pass complete short left to Andre Roberts for 5 yards (tackle by Anthony Spencer),-0.420,-0.490
1,13:53,3,4,ARI 23,0,0,John Skelton pass incomplete short left intended for Jim Dray,-0.490,-1.830
1,13:49,4,4,ARI 23,0,0,"Ben Graham punts 54 yards, returned by Bryan McCann for 11 yards (tackle by Trumaine McBride). Penalty on Barry Church: Offensive Holding, 10 yards",-1.830,-0.540
1,13:37,1,10,DAL 24,0,0,Felix Jones middle for no gain (tackle by Darnell Dockett),0.540,0.000
1,12:56,2,10,DAL 24,0,6,"Jon Kitna pass incomplete short left intended for Miles Austin is intercepted by Dominique Rodgers-Cromartie at DAL-32 and returned for 32 yards, touchdown",0.000,-7.000
1,,,,DAL 2,0,7,Jay Feely kicks extra point good,0.000,0.000
1,,,,ARI 30,0,7,"Jay Feely kicks off 66 yards, returned by Bryan McCann for 20 yards (tackle by Jim Dray)",0.000,0.540
1,12:42,1,10,DAL 24,0,7,Jon Kitna sacked by Calais Campbell for -6 yards,0.540,-0.910
1,12:08,2,16,DAL 18,0,7,"Jon Kitna pass complete short right to Martellus Bennett for 15 yards (tackle by Daryl Washington). Martellus Bennett fumbles (forced by Daryl Washington), recovered by Miles Austin at DAL-33",-0.910,0.500
1,11:18,,,,0,7,Timeout #1 by Dallas Cowboys,0.000,0.500
1,11:18,3,1,DAL 33,0,7,Miles Austin right end for 6 yards (tackle by Greg Toler),0.500,1.530
1,10:42,1,10,DAL 39,0,7,Felix Jones right tackle for 7 yards (tackle by Greg Toler),1.530,1.930
1,10:00,2,3,DAL 46,0,7,Jon Kitna pass incomplete short right intended for Miles Austin,1.930,1.220
1,9:56,3,3,DAL 46,0,7,Jon Kitna pass complete short left to Jason Witten for 4 yards (tackle by Kerry Rhodes),1.220,2.260
1,9:08,1,10,,0,7,Jon Kitna pass complete short left to Felix Jones for 11 yards (tackle by Adrian Wilson),2.260,2.980
1,8:36,1,10,ARI 39,0,13,"Jon Kitna pass incomplete short right intended for Roy Williams is intercepted by Greg Toler at ARI-34 and returned for 66 yards, touchdown",2.980,-7.000
1,,,,DAL 2,0,14,Jay Feely kicks extra point good,0.000,0.000
1,,,,ARI 30,0,14,"Jay Feely kicks off 70 yards, touchback",0.000,0.280
1,8:24,1,10,DAL 20,0,14,Tashard Choice middle for no gain (tackle by Daryl Washington),0.280,-0.270
1,7:51,2,10,DAL 20,0,14,Jon Kitna sacked by Clark Haggans for -6 yards,-0.270,-2.030
1,7:12,3,16,DAL 14,0,14,Jon Kitna pass incomplete deep right intended for Roy Williams (defended by Dominique Rodgers-Cromartie),-2.030,-2.470
1,7:04,4,16,DAL 14,0,14,"Mat McBriar punts 62 yards, returned by Andre Roberts for 11 yards (tackle by Jesse Holley)",-2.470,-1.270
1,6:53,1,10,ARI 35,0,14,John Skelton pass complete short right to Reagan Maui'a for 10 yards (tackle by Terence Newman and Gerald Sensabaugh),1.270,1.930
1,6:11,1,10,ARI 45,0,14,Jason Wright middle for 2 yards (tackle by DeMarcus Ware),1.930,1.650
1,5:33,2,8,ARI 47,0,14,Tim Hightower right tackle for 7 yards (tackle by Terence Newman),1.650,1.880
1,4:47,3,1,DAL 46,0,14,Tim Hightower right tackle for 2 yards (tackle by Anthony Spencer),1.880,2.650
1,4:11,1,10,DAL 44,0,14,John Skelton pass incomplete short left intended for Stephen Spach,2.650,2.110
1,4:05,2,10,DAL 44,0,14,"John Skelton pass incomplete short middle intended for Max Komar. Penalty on Bradie James: Defensive Pass Interfere, 4 yards (no play)",2.110,2.920
1,4:02,1,10,DAL 40,0,14,Tim Hightower left tackle for 2 yards (tackle by Anthony Spencer),2.920,2.640
1,3:20,2,8,DAL 38,0,14,John Skelton pass incomplete short right intended for Andre Roberts (defended by Terence Newman),2.640,1.950
1,3:13,3,8,DAL 38,0,14,John Skelton pass complete short left to Andre Roberts for 7 yards (tackle by Mike Jenkins),1.950,1.410
1,2:51,4,1,DAL 31,0,14,Jay Feely 49 yard field goal no good,1.410,-1.530
1,2:45,1,10,DAL 39,0,14,Felix Jones right tackle for 1 yard (tackle by Greg Toler),1.530,1.120
1,2:07,2,9,DAL 40,0,14,"Penalty on Doug Free: False Start, 5 yards (no play)",1.120,0.450
1,1:44,2,14,DAL 35,0,14,Jon Kitna pass complete short left to Jason Witten for 8 yards (tackle by Paris Lenon),0.450,0.830
1,1:03,3,6,DAL 43,0,14,Jon Kitna pass complete short middle to Jason Witten for 14 yards (tackle by Dominique Rodgers-Cromartie and Kerry Rhodes),0.830,2.720
