Unnamed: 0,DAL,ARI
First Downs,24,10
Rush-Yds-TDs,34-183-1,21-93-0
Cmp-Att-Yd-TD-INT,23-37-226-2-2,11-25-183-1-0
Sacked-Yards,5-27,1-5
Net Pass Yards,199,178
Total Yards,382,271
Fumbles-Lost,4-1,1-0
Turnovers,3,0
Penalties-Yards,7-49,6-43
Third Down Conv.,8-18,2-11
Fourth Down Conv.,1-1,1-1
Time of Possession,38:05,21:55
