Quarter,Time,Tm,Detail,DAL,ARI
1.0,12:47,Cardinals,Dominique Rodgers-Cromartie 32 yard interception return (Jay Feely kick),0,7
,8:24,Cardinals,Greg Toler 66 yard interception return (Jay Feely kick),0,14
2.0,12:49,Cowboys,David Buehler 42 yard field goal,3,14
,11:57,Cardinals,Andre Roberts 74 yard pass from John Skelton (Jay Feely kick),3,21
,5:11,Cowboys,Jason Witten 2 yard pass from Jon Kitna (David Buehler kick),10,21
3.0,6:46,Cowboys,David Buehler 53 yard field goal,13,21
,1:58,Cowboys,Marion Barber III 24 yard rush (David Buehler kick),20,21
4.0,3:45,Cardinals,Jay Feely 49 yard field goal,20,24
,1:41,Cowboys,Miles Austin 37 yard pass from Stephen McGee (David Buehler kick failed),26,24
,0:05,Cardinals,Jay Feely 48 yard field goal,26,27
