Quarter,Time,Tm,Detail,GNB,MIN
1.0,6:43,Packers,Anders Carlson 34 yard field goal,3,0
,5:10,Packers,Jayden Reed 33 yard pass from Jordan Love (Anders Carlson kick),10,0
2.0,9:25,Vikings,Greg Joseph 54 yard field goal,10,3
,3:59,Packers,Jordan Love 2 yard rush (Anders Carlson kick),17,3
,0:08,Packers,Jayden Reed 25 yard pass from Jordan Love (Anders Carlson kick failed),23,3
3.0,0:49,Packers,Bo Melton 9 yard pass from Jordan Love (Anders Carlson kick),30,3
4.0,14:06,Vikings,Johnny Mundt 6 yard pass from Nick Mullens (Greg Joseph kick),30,10
,6:11,Packers,Anders Carlson 37 yard field goal,33,10
