Unnamed: 0,GNB,MIN
First Downs,28,13
Rush-Yds-TDs,39-177-1,16-67-0
Cmp-Att-Yd-TD-INT,25-34-293-3-0,18-32-180-1-1
Sacked-Yards,0-0,4-36
Net Pass Yards,293,144
Total Yards,470,211
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,4-32,6-27
Third Down Conv.,9-14,3-10
Fourth Down Conv.,0-1,0-2
Time of Possession,37:32,22:28
