Unnamed: 0,KAN,OAK
First Downs,16,25
Rush-Yds-TDs,31-125-2,25-100-1
Cmp-Att-Yd-TD-INT,11-22-206-0-1,26-47-282-0-2
Sacked-Yards,2-12,4-25
Net Pass Yards,194,257
Total Yards,319,357
Fumbles-Lost,0-0,2-1
Turnovers,1,3
Penalties-Yards,7-67,6-50
Third Down Conv.,4-13,4-14
Fourth Down Conv.,0-0,1-2
Time of Possession,28:01,31:59
