Quarter,Time,Down,ToGo,Location,KAN,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,OAK 30,0,0,"Sebastian Janikowski kicks off 66 yards, returned by Derrick Blaylock for 32 yards (tackle by Ronald Curry)",0.000,1.330
1,14:52,1,10,KAN 36,0,0,Priest Holmes right tackle for 7 yards (tackle by Derrick Gibson),1.330,1.740
1,14:15,2,3,KAN 43,0,0,Priest Holmes left tackle for 11 yards (tackle by Terrance Shaw),1.740,2.520
1,13:53,1,10,OAK 46,0,0,Priest Holmes right tackle for 1 yard (tackle by Trace Armstrong and Travian Smith),2.520,2.110
1,13:16,2,9,OAK 45,0,0,Johnnie Morton right end for -9 yards (tackle by Anthony Dorsett),2.110,0.230
1,12:47,3,18,KAN 46,0,0,Trent Green pass complete to Priest Holmes for 8 yards (tackle by Rod Woodson),0.230,0.200
1,12:08,4,10,OAK 46,0,0,"Jason Baker punts 46 yards, touchback",0.200,-0.280
1,11:58,1,10,OAK 20,0,0,Rich Gannon pass complete to Charlie Garner for 14 yards (tackle by Ryan Sims),0.280,1.200
1,11:27,1,10,OAK 34,0,0,Rich Gannon pass complete to Charlie Garner for 2 yards (tackle by Dexter McCleon),1.200,0.930
1,11:11,2,8,OAK 36,0,0,Rich Gannon sacked by Scott Fujita for -7 yards,0.930,-0.690
1,10:37,3,15,OAK 29,0,0,Rich Gannon pass complete to Charlie Garner for 6 yards (tackle by Scott Fujita),-0.690,-1.040
1,10:04,4,9,OAK 35,0,0,Shane Lechler punts 46 yards,-1.040,-0.150
1,9:56,1,10,KAN 19,0,0,Trent Green pass complete to Tony Gonzalez for 23 yards (tackle by Derrick Gibson),0.150,1.730
1,9:26,1,10,KAN 42,0,0,Priest Holmes left guard for 1 yard (tackle by Anthony Dorsett and Tyler Brayton),1.730,1.320
1,9:13,2,9,KAN 43,0,0,"Trent Green pass complete to Priest Holmes for 9 yards (tackle by Eric Barton). Penalty on Tony Gonzalez: Offensive Pass Interference, 10 yards (no play)",1.320,-0.030
1,8:45,2,19,KAN 33,0,0,"Trent Green pass complete to Tony Richardson for 2 yards (tackle by Charles Woodson). Penalty on Casey Wiegmann: Offensive Holding, 10 yards (no play)",-0.030,-1.380
1,8:17,2,29,KAN 23,0,0,Priest Holmes up the middle for 7 yards (tackle by Travian Smith),-1.380,-1.090
1,7:32,3,22,KAN 30,0,0,Trent Green pass complete to Johnnie Morton for 7 yards (tackle by Rod Woodson),-1.090,-0.910
1,6:53,4,15,KAN 37,0,0,Jason Baker punts 53 yards,-0.910,0.380
1,6:42,1,10,OAK 10,0,0,Rich Gannon pass complete to Doug Jolley for no gain,-0.380,-0.780
1,6:22,2,10,OAK 10,0,0,Justin Fargas left end for no gain (tackle by Mike Maslowski),-0.780,-1.420
1,5:47,3,10,OAK 10,0,0,Rich Gannon pass incomplete intended for Jerry Porter,-1.420,-2.490
1,5:41,4,10,OAK 10,0,0,Shane Lechler punts 34 yards,-2.490,-2.650
1,5:34,1,10,OAK 44,0,0,Trent Green pass complete to Eddie Kennison for 43 yards (tackle by Derrick Gibson). Penalty on Derrick Gibson: Defensive Pass Interference (Declined),2.650,6.970
1,5:20,1,1,OAK 1,0,0,"Penalty on Jason Dunn: False Start, 5 yards (no play)",6.970,5.830
1,5:03,1,6,OAK 6,0,0,Priest Holmes left guard for 4 yards (tackle by Travian Smith and Napoleon Harris),5.830,5.720
1,4:21,2,2,OAK 2,6,0,"Trent Green right end for 2 yards, touchdown",5.720,7.000
1,,,,OAK 2,7,0,Morten Andersen kicks extra point good,0.000,0.000
1,,,,KAN 30,7,0,"Jason Baker kicks off 67 yards, returned by Ronney Jenkins for 24 yards (tackle by Shaunard Harts)",0.000,0.740
1,4:09,1,10,OAK 27,7,0,Alvis Whitted left end for 11 yards (tackle by Greg Wesley and Shaunard Harts),0.740,1.470
1,3:29,1,10,OAK 38,7,0,Justin Fargas right tackle for 1 yard (tackle by Eric Hicks),1.470,1.060
1,2:52,2,9,OAK 39,7,0,Rich Gannon pass complete to Charlie Garner for 1 yard (tackle by Mike Maslowski),1.060,0.500
1,2:10,3,8,OAK 40,7,0,Rich Gannon pass complete to Tim Brown for 15 yards (tackle by Scott Fujita),0.500,2.590
1,1:27,1,10,KAN 45,7,0,Rich Gannon pass complete to Justin Fargas for -4 yards (tackle by Shawn Barber),2.590,1.500
1,0:48,2,14,KAN 49,7,0,"Rich Gannon pass incomplete intended for Jerry Porter. Penalty on Dexter McCleon: Defensive Pass Interference, 22 yards (no play)",1.500,3.780
