Quarter,Time,Tm,Detail,BAL,SFO
1.0,10:24,49ers,"Safety, Lamar Jackson intentional grounding in end zone",0,2
,5:58,49ers,Jake Moody 45 yard field goal,0,5
,0:57,Ravens,Justin Tucker 28 yard field goal,3,5
2.0,9:35,Ravens,Gus Edwards 1 yard rush (Justin Tucker kick),10,5
,7:03,Ravens,Justin Tucker 41 yard field goal,13,5
,3:23,49ers,Christian McCaffrey 9 yard rush (Jake Moody kick),13,12
,0:00,Ravens,Justin Tucker 28 yard field goal,16,12
3.0,12:03,Ravens,Nelson Agholor 6 yard pass from Lamar Jackson (Justin Tucker kick),23,12
,11:49,Ravens,Zay Flowers 9 yard pass from Lamar Jackson (Justin Tucker kick),30,12
,2:39,Ravens,Justin Tucker 24 yard field goal,33,12
4.0,6:19,49ers,Ronnie Bell 12 yard pass from Sam Darnold (Jake Moody kick),33,19
