Unnamed: 0,BAL,SFO
First Downs,23,21
Rush-Yds-TDs,26-102-1,18-121-1
Cmp-Att-Yd-TD-INT,23-35-252-2-0,26-46-336-1-5
Sacked-Yards,2-11,4-28
Net Pass Yards,241,308
Total Yards,343,429
Fumbles-Lost,0-0,0-0
Turnovers,0,5
Penalties-Yards,6-67,10-102
Third Down Conv.,4-11,6-14
Fourth Down Conv.,1-1,1-3
Time of Possession,31:14,28:46
