Unnamed: 0,ARI,STL
First Downs,7,34
Rush-Yds-TDs,14-36-1,41-133-2
Cmp-Att-Yd-TD-INT,13-21-135-0-0,28-42-272-2-1
Sacked-Yards,1-10,1-4
Net Pass Yards,125,268
Total Yards,161,401
Fumbles-Lost,3-3,2-0
Turnovers,3,1
Penalties-Yards,10-92,5-35
Third Down Conv.,0-8,11-17
Fourth Down Conv.,2-2,0-0
Time of Possession,17:33,42:27
