Quarter,Time,Tm,Detail,MIA,PIT
1.0,4:20,Steelers,Emmanuel Sanders 5 yard pass from Ben Roethlisberger (Shaun Suisham kick),0,7
,0:40,Dolphins,Caleb Sturgis 30 yard field goal,3,7
2.0,8:15,Dolphins,Charles Clay 6 yard pass from Ryan Tannehill (Caleb Sturgis kick),10,7
3.0,10:50,Dolphins,Daniel Thomas 4 yard rush (Caleb Sturgis kick),17,7
,8:58,Steelers,Antonio Brown 43 yard pass from Ben Roethlisberger (Shaun Suisham kick),17,14
,8:05,Steelers,Troy Polamalu 19 yard interception return (Shaun Suisham kick),17,21
,4:52,Dolphins,Brian Hartline 4 yard pass from Ryan Tannehill (Caleb Sturgis kick),24,21
4.0,14:56,Steelers,Jerricho Cotchery 16 yard pass from Ben Roethlisberger (Shaun Suisham kick),24,28
,2:53,Dolphins,Charles Clay 12 yard pass from Ryan Tannehill (Caleb Sturgis kick),31,28
,1:08,Dolphins,Caleb Sturgis 27 yard field goal,34,28
