Unnamed: 0,MIA,PIT
First Downs,18,16
Rush-Yds-TDs,25-181-1,21-84-0
Cmp-Att-Yd-TD-INT,20-33-200-3-1,23-39-349-3-0
Sacked-Yards,2-14,3-21
Net Pass Yards,186,328
Total Yards,367,412
Fumbles-Lost,2-0,1-1
Turnovers,1,1
Penalties-Yards,5-36,9-63
Third Down Conv.,6-14,8-17
Fourth Down Conv.,0-0,1-2
Time of Possession,28:55,31:05
