Quarter,Time,Down,ToGo,Location,MIA,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,PIT 20,0,0,Ben Roethlisberger pass complete short right to Le'Veon Bell for 5 yards (tackle by Randy Starks),0.280,0.410
1,14:23,2,5,PIT 25,0,0,Ben Roethlisberger sacked by Paul Soliai for -13 yards,0.410,-2.360
1,13:45,3,18,PIT 12,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 16 yards (tackle by Nolan Carroll and Reshad Jones),-2.360,-1.500
1,13:03,4,2,PIT 28,0,0,"Mat McBriar punts 47 yards, returned by Marcus Thigpen for 6 yards (tackle by Will Johnson)",-1.500,-1.000
1,12:52,1,10,MIA 31,0,0,Lamar Miller left guard for 2 yards (tackle by Troy Polamalu),1.000,0.730
1,12:17,2,8,MIA 33,0,0,Ryan Tannehill pass incomplete short right intended for Dion Sims (defended by Troy Polamalu),0.730,0.040
1,12:13,3,8,MIA 33,0,0,Ryan Tannehill sacked by Cameron Heyward for -8 yards,0.040,-1.700
1,11:38,4,16,MIA 25,0,0,"Brandon Fields punts 52 yards, returned by Antonio Brown for 3 yards (tackle by Jonathan Freeny)",-1.700,-0.670
1,11:25,1,10,PIT 26,0,0,Le'Veon Bell up the middle for 4 yards (tackle by Koa Misi and Philip Wheeler),0.670,0.670
1,10:46,2,6,PIT 30,0,0,Le'Veon Bell left guard for 9 yards (tackle by Dannell Ellerbe and Chris Clemons),0.670,1.530
1,10:10,1,10,PIT 39,0,0,Le'Veon Bell left guard for 6 yards (tackle by John Denney),1.530,1.800
1,9:30,2,4,PIT 45,0,0,Le'Veon Bell right guard for 3 yards (tackle by Philip Wheeler and Dannell Ellerbe),1.800,1.490
1,8:57,3,1,PIT 48,0,0,Jonathan Dwyer up the middle for 6 yards (tackle by Philip Wheeler),1.490,2.520
