Unnamed: 0,MIN,CHI
First Downs,19,10
Rush-Yds-TDs,33-99-0,17-41-0
Cmp-Att-Yd-TD-INT,25-36-292-2-1,16-31-124-0-1
Sacked-Yards,1-6,2-16
Net Pass Yards,286,108
Total Yards,385,149
Fumbles-Lost,2-1,3-1
Turnovers,2,2
Penalties-Yards,4-35,1-5
Third Down Conv.,8-15,2-11
Fourth Down Conv.,0-0,0-2
Time of Possession,35:50,24:10
