Unnamed: 0,NOR,STL
First Downs,24,16
Rush-Yds-TDs,32-119-0,27-109-3
Cmp-Att-Yd-TD-INT,18-39-230-2-1,18-29-198-0-0
Sacked-Yards,4-17,1-9
Net Pass Yards,213,189
Total Yards,332,298
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,9-102,8-65
Third Down Conv.,6-16,5-14
Fourth Down Conv.,0-2,1-1
Time of Possession,33:57,26:03
