Quarter,Time,Down,ToGo,Location,NOR,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 62 yards, returned by Az-Zahir Hakim for 20 yards (tackle by Drew Wahlroos)",0.000,0.810
1,14:55,1,10,NOR 28,0,0,Aaron Stecker left guard for 1 yard (tackle by Pisa Tinoisamoa). Penalty on NOR: Illegal Formation (Declined),0.810,0.400
1,14:39,2,9,NOR 29,0,0,Aaron Stecker left tackle for 8 yards (tackle by DeJuan Groce),0.400,0.760
1,13:54,3,1,NOR 37,0,0,Aaron Brooks for 15 yards (tackle by Dexter Coakley),0.760,2.390
1,13:19,1,10,STL 48,0,0,Aaron Brooks pass incomplete intended for Ernie Conwell,2.390,1.850
1,13:14,2,10,STL 48,0,0,Aaron Stecker left tackle for 3 yards (tackle by Chris Claiborne),1.850,1.550
1,12:32,3,7,STL 45,0,0,Aaron Brooks pass complete to Az-Zahir Hakim for 34 yards (tackle by Pisa Tinoisamoa),1.550,4.840
1,11:43,1,10,STL 11,6,0,"Aaron Brooks pass complete to Donte' Stallworth for 11 yards, touchdown",4.840,7.000
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
1,,,,STL 2,7,0,John Carney kicks extra point good,0.000,0.000
1,,,,NOR 30,7,0,"Mitch Berger kicks off 72 yards, returned by Chris Johnson for 25 yards (tackle by Siddeeq Shabazz)",0.000,0.480
1,11:30,1,10,STL 23,7,0,Steven Jackson up the middle for 43 yards (tackle by Josh Bullocks),0.480,3.310
1,11:05,1,10,NOR 34,7,0,Steven Jackson up the middle for 6 yards (tackle by Willie Whitehead),3.310,3.580
1,10:29,2,4,NOR 28,7,0,Steven Jackson left end for -3 yards (tackle by Courtney Watson),3.580,2.480
1,9:50,3,7,NOR 31,7,0,Jamie Martin pass incomplete intended for Shaun McDonald,2.480,1.320
1,9:43,4,7,NOR 31,7,0,Jeff Wilkins 48 yard field goal no good,1.320,-1.470
1,9:39,1,10,NOR 38,7,0,Aaron Brooks pass incomplete intended for Az-Zahir Hakim,1.470,0.920
