Quarter,Time,Tm,Detail,NOR,STL
1.0,11:36,Saints,Donte' Stallworth 11 yard pass from Aaron Brooks (John Carney kick),7,0
,5:00,Saints,Az-Zahir Hakim 17 yard pass from Aaron Brooks (John Carney kick),14,0
2.0,4:25,Rams,Steven Jackson 6 yard rush (Jeff Wilkins kick),14,7
4.0,13:31,Saints,John Carney 22 yard field goal,17,7
,9:33,Rams,Steven Jackson 1 yard rush (Jeff Wilkins kick),17,14
,5:58,Rams,Kevin Curtis 5 yard rush (Jeff Wilkins kick),17,21
,1:55,Rams,Mike Furrey 67 yard interception return (Jeff Wilkins kick),17,28
