Quarter,Time,Tm,Detail,HOU,NWE
1.0,9:27,Patriots,Aaron Hernandez 7 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
,2:49,Patriots,Brandon Lloyd 37 yard pass from Tom Brady (Stephen Gostkowski kick),0,14
2.0,11:01,Patriots,Aaron Hernandez 4 yard pass from Tom Brady (Stephen Gostkowski kick),0,21
3.0,9:49,Patriots,Donte' Stallworth 63 yard pass from Tom Brady (Stephen Gostkowski kick),0,28
,6:12,Texans,Arian Foster 1 yard rush (Shayne Graham kick),7,28
4.0,14:15,Patriots,Brandon Lloyd offensive fumble recovery in end zone (Stephen Gostkowski kick),7,35
,7:23,Patriots,Stevan Ridley 14 yard rush (Stephen Gostkowski kick),7,42
,2:00,Texans,T.J. Yates 1 yard rush (Shayne Graham kick),14,42
