#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:39,NWE 44,7,3:12,56,Touchdown
2,1,5:30,NWE 18,6,2:41,82,Touchdown
3,2,15:00,NWE 30,8,3:59,70,Touchdown
4,2,9:51,NWE 34,3,1:19,8,Punt
5,2,4:44,NWE 33,3,1:18,-6,Punt
6,2,1:52,NWE 38,3,1:11,7,Punt
7,3,15:00,NWE 20,6,1:57,15,Punt
8,3,10:54,NWE 26,5,1:05,74,Touchdown
9,3,6:12,NWE 20,3,1:22,0,Punt
10,3,3:28,NWE 28,9,4:13,72,Touchdown
11,4,11:47,NWE 32,10,4:24,68,Touchdown
12,4,5:09,NWE 10,4,2:08,3,Interception
13,4,2:00,NWE 9,3,2:00,-3,End of Game
