#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,12:44,ARI 33,7,3:47,33,Touchdown
2,1,6:49,NWE 45,7,3:03,55,Touchdown
3,1,1:49,NWE 44,3,1:37,7,Punt
4,2,14:09,ARI 50,4,2:05,50,Touchdown
5,2,7:25,NWE 31,12,5:33,69,Touchdown
6,2,1:24,NWE 29,9,1:22,51,Field Goal
7,3,15:00,NWE 24,1,0:19,76,Touchdown
8,3,13:44,NWE 31,11,5:24,52,Field Goal
9,3,7:43,ARI 49,11,4:12,44,Field Goal
10,3,0:52,ARI 15,5,1:01,3,Field Goal
11,4,14:01,NWE 30,3,1:34,1,Punt
12,4,10:03,NWE 12,3,2:21,8,Punt
13,4,6:17,NWE 27,9,6:17,35,End of Game
