Unnamed: 0,ARI,NWE
First Downs,8,27
Rush-Yds-TDs,15-44-0,42-183-2
Cmp-Att-Yd-TD-INT,12-32-168-1-1,21-38-343-3-0
Sacked-Yards,3-26,1-12
Net Pass Yards,142,331
Total Yards,186,514
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,3-20,7-65
Third Down Conv.,3-13,8-16
Fourth Down Conv.,0-1,1-1
Time of Possession,21:25,38:35
