Quarter,Time,Down,ToGo,Location,ARI,NWE,Detail,EPB,EPA
2,14:23,4,10,ARI 9,0,14,"Ben Graham punts 43 yards, returned by Wes Welker for 2 yards (tackle by Michael Adams)",-2.490,-2.260
2,14:09,1,10,ARI 50,0,14,LaMont Jordan left guard for -2 yards (tackle by Calais Campbell and Antonio Smith),2.260,1.440
2,13:34,2,12,NWE 48,0,14,Matt Cassel pass complete deep middle to Jabar Gaffney for 37 yards (tackle by Antrel Rolle),1.440,4.580
2,12:47,1,10,ARI 15,0,14,LaMont Jordan up the middle for no gain (tackle by Gabe Watson and Karlos Dansby),4.580,3.950
2,12:12,2,10,ARI 15,0,20,"Matt Cassel pass complete short left to Kevin Faulk for 15 yards, touchdown",3.950,7.000
2,,,,ARI 2,0,21,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 30,0,21,"Stephen Gostkowski kicks off 61 yards, returned by Steve Breaston for 10 yards (tackle by Matt Slater)",0.000,0.150
2,11:59,1,10,ARI 19,0,21,Kurt Warner pass incomplete short right intended for Larry Fitzgerald,0.150,-0.390
2,11:54,2,10,ARI 19,0,21,Kurt Warner pass complete short left to Jerheme Urban for 8 yards (tackle by Lewis Sanders),-0.390,-0.030
2,11:29,3,2,ARI 27,0,21,Kurt Warner pass complete short right to Early Doucet for 5 yards (tackle by Mike Vrabel),-0.030,1.070
2,10:53,1,10,ARI 32,0,21,Kurt Warner pass complete short right to Early Doucet for 6 yards (tackle by Brandon Meriweather),1.070,1.340
2,10:13,2,4,ARI 38,0,21,Kurt Warner pass complete short left to Larry Fitzgerald for 10 yards,1.340,2.130
2,9:45,1,10,ARI 48,0,21,Edgerrin James right guard for 12 yards (tackle by Jonathan Wilhite and Brandon Meriweather),2.130,2.920
2,9:07,1,10,NWE 40,0,21,Edgerrin James right guard for 1 yard (tackle by Mike Vrabel and Vince Wilfork),2.920,2.510
2,8:31,2,9,NWE 39,0,21,Kurt Warner pass complete short left to Edgerrin James for 6 yards (tackle by Rosevelt Colvin),2.510,2.610
2,7:48,3,3,NWE 33,0,21,Tim Hightower right end for 2 yards (tackle by Junior Seau),2.610,1.410
2,7:29,,,,0,21,Timeout #2 by New England Patriots,0.000,1.410
2,7:29,4,1,NWE 31,0,21,Kurt Warner pass incomplete short middle intended for Ben Patrick,1.410,-1.000
2,7:25,1,10,NWE 31,0,21,Matt Cassel pass complete short left to Jabar Gaffney for 4 yards,1.000,1.000
2,7:07,2,6,NWE 35,0,21,LaMont Jordan up the middle for 12 yards (tackle by Antrel Rolle and Matt Ware),1.000,2.060
2,6:27,1,10,NWE 47,0,21,"Matt Cassel sacked by Bertrand Berry for -4 yards. Penalty on Roderick Hood: Illegal Contact, 5 yards (no play)",2.060,2.390
2,6:06,1,10,ARI 48,0,21,Matt Cassel pass incomplete deep right intended for Randy Moss,2.390,1.850
2,5:59,2,10,ARI 48,0,21,Matt Cassel pass incomplete deep middle intended for Ben Watson,1.850,1.160
2,5:54,3,10,ARI 48,0,21,Matt Cassel pass complete deep left to Jabar Gaffney for 19 yards (tackle by Matt Ware),1.160,3.640
2,5:17,1,10,ARI 29,0,21,"LaMont Jordan up the middle for no gain (tackle by Antonio Smith and Calais Campbell). Penalty on Logan Mankins: Offensive Holding, 10 yards (no play)",3.640,2.980
2,4:58,1,20,ARI 39,0,21,Matt Cassel pass complete short left to Wes Welker for 3 yards (tackle by Karlos Dansby),2.980,2.160
2,4:21,2,17,ARI 36,0,21,Matt Cassel pass complete short middle to Wes Welker for 3 yards (tackle by Chike Okeafor),2.160,1.880
2,3:40,3,14,ARI 33,0,21,Matt Cassel pass complete short left to Sammy Morris for 3 yards (tackle by Antrel Rolle). Penalty on Logan Mankins: Face Mask (15 Yards) (Declined),1.880,1.410
2,3:19,4,11,ARI 30,0,21,Matt Cassel left guard for 16 yards (tackle by Karlos Dansby and Antonio Smith),1.410,4.650
2,2:42,1,10,ARI 14,0,21,LaMont Jordan left guard for 3 yards (tackle by Karlos Dansby),4.650,4.520
2,2:00,2,7,ARI 11,0,21,Matt Cassel pass incomplete short left intended for Randy Moss (defended by Bertrand Berry),4.520,3.620
2,1:57,3,7,ARI 11,0,27,"Matt Cassel pass complete short right to Wes Welker for 11 yards, touchdown. Penalty on Wes Welker: Unsportsmanlike Conduct, 15 yards",3.620,7.000
2,,,,ARI 2,0,28,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 15,0,28,"Stephen Gostkowski kicks off 68 yards, returned by Steve Breaston for 22 yards (tackle by Vince Redd)",0.000,1.530
2,1:46,1,10,ARI 39,0,28,Kurt Warner pass incomplete short right intended for Tim Hightower,1.530,0.990
2,1:42,2,10,ARI 39,0,28,Kurt Warner pass incomplete deep middle intended for Larry Fitzgerald,0.990,0.300
2,1:35,3,10,ARI 39,0,28,Kurt Warner pass incomplete short left intended for Edgerrin James,0.300,-0.780
2,1:31,,,,0,28,Timeout #3 by New England Patriots,0.000,-0.780
2,1:31,4,10,ARI 39,0,28,Ben Graham punts 32 yards,-0.780,-0.870
2,1:24,1,10,NWE 29,0,28,Matt Cassel pass complete short left to Jabar Gaffney for 14 yards,0.870,1.800
2,1:18,1,10,NWE 43,0,28,Matt Cassel pass incomplete short left intended for Kevin Faulk. Penalty on Nick Kaczur: Illegal Formation (Declined),1.800,1.250
2,1:15,2,10,NWE 43,0,28,Kevin Faulk up the middle for 1 yard (tackle by Chike Okeafor),1.250,0.690
2,0:34,3,9,NWE 44,0,28,Matt Cassel pass complete deep left to Jabar Gaffney for 16 yards,0.690,2.920
2,0:28,1,10,ARI 40,0,28,Matt Cassel pass incomplete short middle intended for Wes Welker,2.920,2.370
2,0:23,2,10,ARI 40,0,28,Matt Cassel pass complete short right to Wes Welker for 20 yards (tackle by Matt Ware),2.370,4.240
2,0:17,1,10,ARI 20,0,28,Matt Cassel pass incomplete deep left intended for Jabar Gaffney,4.240,3.690
2,0:13,2,10,ARI 20,0,28,Matt Cassel pass incomplete deep right intended for Wes Welker,3.690,3.010
2,0:07,3,10,ARI 20,0,31,Stephen Gostkowski 38 yard field goal good,3.010,3.000
2,,,,NWE 30,0,31,"Stephen Gostkowski kicks off 47 yards, returned by Sean Morey for 15 yards (tackle by Antwain Spann)",0.000,0.940
Quarter,Time,Down,ToGo,Location,ARI,NWE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 30,0,31,"Neil Rackers kicks off 59 yards, returned by Sammy Morris for 13 yards (tackle by Tim Castille)",0.000,0.540
3,14:55,1,10,NWE 24,0,37,"Matt Cassel pass complete short left to Randy Moss for 76 yards, touchdown",0.540,7.000
3,,,,ARI 2,0,38,Stephen Gostkowski kicks extra point good,0.000,0.000
3,,,,NWE 30,0,38,"Stephen Gostkowski kicks off 60 yards, muffed by Steve Breaston, recovered by Steve Breaston at ARZ-10, and returned for 6 yards",0.000,-0.140
3,14:38,1,10,ARI 16,0,38,Edgerrin James right tackle for 1 yard (tackle by Vince Wilfork and Junior Seau),-0.140,-0.510
3,14:04,2,9,ARI 17,0,38,Kurt Warner pass incomplete short middle intended for Larry Fitzgerald,-0.510,-1.200
3,14:01,3,9,ARI 17,0,38,Kurt Warner pass incomplete short left intended for Early Doucet,-1.200,-2.320
3,13:56,4,9,ARI 17,0,38,"Ben Graham punts 42 yards, returned by Wes Welker for 7 yards (tackle by Sean Morey). Penalty on Kelley Washington: Offensive Holding, 10 yards",-2.320,-1.000
3,13:44,1,10,NWE 31,0,38,Matt Cassel pass complete short left to Heath Evans for 28 yards (tackle by Dominique Rodgers-Cromartie),1.000,2.850
3,13:25,1,10,ARI 41,0,38,Sammy Morris left tackle for 1 yard (tackle by Gabe Watson),2.850,2.440
3,12:42,,,,0,38,Timeout #1 by New England Patriots,0.000,2.440
3,12:42,2,9,ARI 40,0,38,Matt Cassel pass complete short left to Randy Moss for 11 yards (tackle by Dominique Rodgers-Cromartie),2.440,3.640
3,12:10,1,10,ARI 29,0,38,Sammy Morris right guard for 10 yards (tackle by Antrel Rolle),3.640,4.310
3,11:40,1,10,ARI 19,0,38,Sammy Morris left tackle for 3 yards (tackle by Gerald Hayes and Karlos Dansby),4.310,4.180
3,11:00,2,7,ARI 16,0,38,Matt Cassel pass complete short right to Wes Welker for 6 yards (tackle by Antrel Rolle),4.180,4.690
3,10:19,3,1,ARI 10,0,38,Matt Cassel up the middle for 3 yards (tackle by Bryan Robinson),4.690,5.600
3,9:39,1,7,ARI 7,0,38,Matt Cassel pass incomplete short left intended for Randy Moss,5.600,4.760
3,9:39,2,7,ARI 7,0,38,"Penalty on Russ Hochstein: False Start, 5 yards (no play)",4.760,3.860
3,9:35,2,12,ARI 12,0,38,Matt Cassel pass complete short left to Kevin Faulk for 7 yards (tackle by Bryan Robinson),3.860,4.260
3,8:50,3,5,ARI 5,0,38,Matt Cassel sacked by Karlos Dansby for -12 yards,4.260,2.310
3,8:25,4,17,ARI 17,0,41,Stephen Gostkowski 35 yard field goal good,2.310,3.000
3,,,,NWE 30,0,41,"Stephen Gostkowski kicks off 66 yards, returned by Steve Breaston for 7 yards (tackle by Heath Evans)",0.000,-0.370
3,8:10,1,10,ARI 11,0,41,Kurt Warner pass incomplete short left intended for Jerheme Urban,-0.370,-0.780
3,8:04,2,10,ARI 11,0,41,Kurt Warner pass incomplete short left intended for Steve Breaston,-0.780,-1.420
3,8:01,,,,0,41,Timeout #2 by New England Patriots,0.000,-1.420
3,8:01,3,10,ARI 11,0,41,Kurt Warner pass incomplete short middle intended for Larry Fitzgerald. Penalty on Deuce Lutui: Offensive Holding (Declined),-1.420,-2.490
3,7:55,4,10,ARI 11,0,41,"Ben Graham punts 50 yards, returned by Wes Welker for 12 yards (tackle by Calais Campbell)",-2.490,-2.320
3,7:43,1,10,ARI 49,0,41,"Sammy Morris right tackle for 12 yards (tackle by Antrel Rolle). Penalty on Nick Kaczur: Offensive Holding, 10 yards",2.320,2.620
3,7:20,1,8,ARI 47,0,41,Matt Cassel pass incomplete short right intended for Randy Moss (defended by Dominique Rodgers-Cromartie),2.620,2.050
3,7:15,2,8,ARI 47,0,41,Matt Cassel pass incomplete short right intended for Jabar Gaffney,2.050,1.360
3,7:11,3,8,ARI 47,0,41,Matt Cassel pass complete short left to Wes Welker for 13 yards (tackle by Gerald Hayes),1.360,3.310
3,6:37,1,10,ARI 34,0,41,LaMont Jordan right guard for 6 yards (tackle by Gabe Watson and Gerald Hayes),3.310,3.580
3,5:57,2,4,ARI 28,0,41,LaMont Jordan right guard for 5 yards (tackle by Michael Adams and Gabe Watson),3.580,4.040
3,5:23,1,10,ARI 23,0,41,Matt Cassel pass complete short left to Wes Welker for 12 yards (tackle by Karlos Dansby),4.040,4.840
3,4:45,1,10,ARI 11,0,41,LaMont Jordan right guard for 3 yards (tackle by Eric Green),4.840,4.700
3,4:08,2,7,ARI 8,0,41,Sammy Morris left end for 3 yards (tackle by Dominique Rodgers-Cromartie),4.700,4.440
3,3:40,3,4,ARI 5,0,41,Matt Cassel pass incomplete short right intended for Randy Moss (defended by Dominique Rodgers-Cromartie),4.440,3.010
3,3:35,4,4,ARI 5,0,44,Stephen Gostkowski 24 yard field goal good,3.010,3.000
3,,,,NWE 30,0,44,"Stephen Gostkowski kicks off 67 yards, returned by Steve Breaston for 18 yards (tackle by Mike Richardson)",0.000,0.340
3,3:27,1,10,ARI 21,0,44,Tim Hightower up the middle for no gain (tackle by Vince Wilfork and Mike Vrabel),0.340,-0.200
3,2:45,2,10,ARI 21,0,44,"Penalty on Mike Vrabel: Defensive Offside, 5 yards (no play)",-0.200,0.480
3,2:25,2,5,ARI 26,0,44,Matt Leinart pass incomplete short right intended for Tim Hightower,0.480,-0.230
3,2:18,3,5,ARI 26,0,44,Matt Leinart up the middle for 8 yards (tackle by LeKevin Smith),-0.230,1.200
3,1:36,1,10,ARI 34,0,44,"Matt Leinart sacked for -4 yards. Matt Leinart fumbles, recovered by Tim Hightower at ARI-25 and returned for 2 yards",1.200,-0.290
3,1:04,2,17,ARI 27,0,44,Matt Leinart pass incomplete deep middle intended for Larry Fitzgerald (defended by Deltha O'Neal),-0.290,-0.960
3,0:59,3,17,ARI 27,0,44,"Matt Leinart sacked by Brandon Meriweather for -12 yards. Matt Leinart fumbles (forced by Brandon Meriweather), recovered by Jarvis Green at ARI-15 (tackle by Mike Gandy)",-0.960,-4.580
3,0:52,1,10,ARI 15,0,44,"LaMont Jordan left end for 5 yards (tackle by Antrel Rolle). Penalty on Ben Watson: Offensive Holding, 10 yards",4.580,4.240
3,0:27,1,15,ARI 20,0,44,Matt Cassel pass incomplete short right intended for Sammy Morris,4.240,3.350
3,0:24,2,15,ARI 20,0,44,Sammy Morris up the middle for 8 yards (tackle by Michael Adams),3.350,3.580
Quarter,Time,Down,ToGo,Location,ARI,NWE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,7,ARI 12,0,44,Matt Cassel pass incomplete short left intended for Tyson DeVree,3.580,2.630
4,14:55,4,7,ARI 12,0,47,Stephen Gostkowski 30 yard field goal good,2.630,3.000
4,,,,NWE 30,0,47,"Stephen Gostkowski kicks off 59 yards, returned by Steve Breaston for 16 yards (tackle by Sam Aiken)",0.000,0.740
4,14:45,1,10,ARI 27,0,47,Matt Leinart pass incomplete short left intended for Steve Breaston (defended by Vince Redd),0.740,0.200
4,14:41,2,10,ARI 27,0,47,Matt Leinart pass incomplete short left intended for Larry Fitzgerald (defended by Brandon Meriweather),0.200,-0.490
4,14:37,,,,0,47,Timeout #1 by Arizona Cardinals,0.000,-0.490
4,14:37,3,10,ARI 27,0,47,Matt Leinart pass complete deep right to Jerheme Urban for 28 yards (tackle by Matt Slater),-0.490,2.590
4,14:11,1,10,NWE 45,0,47,Matt Leinart pass incomplete short right intended for Larry Fitzgerald,2.590,2.040
4,14:07,2,10,NWE 45,0,47,Matt Leinart pass incomplete short middle intended for Jerheme Urban is intercepted by Ellis Hobbs at NWE-37 and returned for -7 yards (tackle by Larry Fitzgerald),2.040,-0.940
4,14:01,1,10,NWE 30,0,47,Heath Evans up the middle for 3 yards (tackle by Gabe Watson and Pago Togafau),0.940,0.800
4,13:24,2,7,NWE 33,0,47,Kevin O'Connell pass complete short left to Sam Aiken for -2 yards (tackle by Gabe Watson),0.800,-0.160
4,12:43,3,9,NWE 31,0,47,Kevin O'Connell pass incomplete short right intended for Matt Slater,-0.160,-1.310
4,12:35,4,9,NWE 31,0,47,"Chris Hanson punts 50 yards, fair catch by Steve Breaston",-1.310,-0.150
4,12:27,1,10,ARI 19,0,47,Tim Hightower up the middle for 3 yards (tackle by Junior Seau and Vince Redd),0.150,0.070
4,12:00,2,7,ARI 22,0,47,Matt Leinart pass complete short left to Tim Hightower for 15 yards (tackle by Jerod Mayo),0.070,1.400
4,11:31,1,10,ARI 37,0,47,Matt Leinart pass complete short left to Larry Fitzgerald for 13 yards (tackle by Brandon Meriweather),1.400,2.260
4,10:52,1,10,,0,47,Matt Leinart pass complete short left to Steve Breaston for 6 yards,2.260,2.520
4,10:23,2,4,NWE 44,0,47,Matt Leinart pass incomplete short middle intended for Tim Hightower,2.520,1.820
4,10:15,3,4,NWE 44,0,47,Matt Leinart pass incomplete short left intended for Tim Hightower,1.820,0.330
4,10:11,4,4,NWE 44,0,47,Ben Graham punts 32 yards,0.330,0.350
4,10:03,1,10,NWE 12,0,47,LaMont Jordan up the middle for 3 yards (tackle by Darnell Dockett),-0.350,-0.500
4,9:20,2,7,NWE 15,0,47,LaMont Jordan left end for 2 yards (tackle by Calais Campbell),-0.500,-0.840
4,8:36,3,5,NWE 17,0,47,LaMont Jordan up the middle for 3 yards (tackle by Calais Campbell and Darnell Dockett),-0.840,-2.030
4,7:53,4,2,NWE 20,0,47,Chris Hanson punts 51 yards,-2.030,-0.870
4,7:42,1,10,ARI 29,0,47,Matt Leinart pass complete short left to Tim Castille for -2 yards (tackle by Jarvis Green),0.870,0.060
4,6:59,2,12,ARI 27,0,47,"Penalty on Matt Leinart: Delay of Game, 5 yards (no play)",0.060,-0.620
4,6:30,2,17,ARI 22,6,47,"Matt Leinart pass complete deep left to Larry Fitzgerald for 78 yards, touchdown",-0.620,7.000
4,,,,NWE 2,7,47,Neil Rackers kicks extra point good,0.000,0.000
4,,,,ARI 30,7,47,"Neil Rackers kicks off 60 yards, muffed by Ellis Hobbs, recovered by Ellis Hobbs at NE-12, and returned for 15 yards",0.000,0.740
4,6:12,1,10,NWE 27,7,47,LaMont Jordan right guard for 16 yards (tackle by Antrel Rolle),0.740,1.800
4,5:30,1,10,NWE 43,7,47,LaMont Jordan up the middle for 8 yards (tackle by Gabe Watson and Gerald Hayes),1.800,2.330
4,4:44,2,2,ARI 49,7,47,LaMont Jordan left tackle for -1 yards (tackle by Monty Beisel and Pago Togafau),2.330,1.490
4,4:01,3,3,,7,47,Sammy Morris up the middle for 4 yards (tackle by Eric Green and Darnell Dockett),1.490,2.520
4,3:17,1,10,ARI 46,7,47,Sammy Morris left end for 2 yards (tackle by Darnell Dockett and Pago Togafau),2.520,2.250
4,2:35,2,8,ARI 44,7,47,Sammy Morris up the middle for 12 yards (tackle by Antrel Rolle and Adrian Wilson),2.250,3.450
4,2:00,1,10,ARI 32,7,47,Kevin O'Connell kneels for -2 yards,3.450,2.630
4,1:20,2,12,ARI 34,7,47,Kevin O'Connell kneels for -2 yards,2.630,1.690
4,0:39,3,14,ARI 36,7,47,Kevin O'Connell kneels for -2 yards,1.690,0.720
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
