Quarter,Time,Tm,Detail,ARI,NWE
1.0,8:57,Patriots,LaMont Jordan 1 yard rush (Stephen Gostkowski kick),0,7
,3:46,Patriots,LaMont Jordan 3 yard rush (Stephen Gostkowski kick),0,14
2.0,12:04,Patriots,Kevin Faulk 15 yard pass from Matt Cassel (Stephen Gostkowski kick),0,21
,1:52,Patriots,Wes Welker 11 yard pass from Matt Cassel (Stephen Gostkowski kick),0,28
,0:02,Patriots,Stephen Gostkowski 38 yard field goal,0,31
3.0,14:41,Patriots,Randy Moss 76 yard pass from Matt Cassel (Stephen Gostkowski kick),0,38
,8:20,Patriots,Stephen Gostkowski 35 yard field goal,0,41
,3:31,Patriots,Stephen Gostkowski 24 yard field goal,0,44
4.0,14:51,Patriots,Stephen Gostkowski 30 yard field goal,0,47
,6:17,Cardinals,Larry Fitzgerald 78 yard pass from Matt Leinart (Neil Rackers kick),7,47
