Unnamed: 0,CIN,BAL
First Downs,17,16
Rush-Yds-TDs,34-70-0,18-66-1
Cmp-Att-Yd-TD-INT,23-34-271-0-0,23-34-217-0-2
Sacked-Yards,3-15,2-11
Net Pass Yards,256,206
Total Yards,326,272
Fumbles-Lost,2-0,4-4
Turnovers,0,6
Penalties-Yards,7-45,6-30
Third Down Conv.,7-18,3-10
Fourth Down Conv.,0-1,1-2
Time of Possession,35:42,24:18
