Quarter,Time,Tm,Detail,SEA,SFO
2.0,13:23,Seahawks,Russell Wilson 2 yard rush (Blair Walsh kick),7,0
,0:04,49ers,Robbie Gould 38 yard field goal,7,3
3.0,9:19,49ers,Robbie Gould 42 yard field goal,7,6
,6:33,Seahawks,Nick Vannett 17 yard pass from Russell Wilson (Blair Walsh kick),14,6
4.0,14:57,Seahawks,Jimmy Graham 1 yard pass from Russell Wilson (Blair Walsh kick),21,6
,3:27,Seahawks,Blair Walsh 34 yard field goal,24,6
,0:00,49ers,Louis Murphy 10 yard pass from Jimmy Garoppolo (Robbie Gould kick),24,13
