Unnamed: 0,SEA,SFO
First Downs,20,16
Rush-Yds-TDs,30-90-1,24-84-0
Cmp-Att-Yd-TD-INT,20-34-228-2-1,24-40-219-1-1
Sacked-Yards,0-0,3-23
Net Pass Yards,228,196
Total Yards,318,280
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,6-35,7-74
Third Down Conv.,5-13,5-16
Fourth Down Conv.,0-0,1-1
Time of Possession,29:31,30:29
