Quarter,Time,Down,ToGo,Location,ARI,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Thomas Morstead kicks off 72 yards, returned by LaRod Stephens-Howling for 32 yards (tackle by Pierson Prioleau)",0.000,0.940
1,14:52,1,10,ARI 30,6,0,"Tim Hightower right tackle for 70 yards, touchdown",0.940,7.000
1,,,,NOR 2,7,0,Neil Rackers kicks extra point good,0.000,0.000
1,,,,ARI 30,7,0,"Neil Rackers kicks off 67 yards, returned by Courtney Roby for 25 yards (tackle by Reggie Walker)",0.000,0.810
1,14:36,1,10,NOR 28,7,0,Pierre Thomas right tackle for 1 yard (tackle by Calais Campbell),0.810,0.400
1,14:03,2,9,NOR 29,7,0,Drew Brees pass complete short right to Lance Moore for 7 yards (tackle by Dominique Rodgers-Cromartie),0.400,0.630
1,13:21,3,2,NOR 36,7,0,Drew Brees pass complete short right to Jeremy Shockey for 6 yards (tackle by Antrel Rolle),0.630,1.730
1,12:40,1,10,NOR 42,7,0,"Drew Brees pass incomplete deep left intended for Jeremy Shockey. Penalty on Chike Okeafor: Defensive Offside, 5 yards (no play)",1.730,2.460
1,12:33,1,5,NOR 47,7,0,Reggie Bush right end for 7 yards (tackle by Dominique Rodgers-Cromartie),2.460,2.520
1,12:05,1,10,ARI 46,7,0,Drew Brees pass incomplete short right intended for Pierre Thomas (defended by Clark Haggans),2.520,1.980
1,12:00,2,10,ARI 46,7,0,Drew Brees pass complete short right to Marques Colston for 17 yards (tackle by Antrel Rolle),1.980,3.640
1,11:17,1,10,ARI 29,7,0,Reggie Bush right end for 11 yards (tackle by Adrian Wilson and Antrel Rolle),3.640,4.370
1,10:35,1,10,ARI 18,7,0,Drew Brees pass complete short right to Jeremy Shockey for 13 yards (tackle by Adrian Wilson),4.370,6.060
1,10:06,1,5,ARI 5,7,0,Pierre Thomas left tackle for 4 yards (tackle by Bryan Robinson and Adrian Wilson),6.060,5.910
1,9:22,2,1,ARI 1,7,6,"Lynell Hamilton right guard for 1 yard, touchdown",5.910,7.000
1,,,,ARI 2,7,7,Garrett Hartley kicks extra point good,0.000,0.000
1,,,,NOR 30,7,7,"Thomas Morstead kicks off 75 yards, returned by LaRod Stephens-Howling for 23 yards (tackle by Courtney Roby)",0.000,0.040
1,9:12,1,10,ARI 18,7,7,"Kurt Warner pass complete short middle to Jerheme Urban for 28 yards (tackle by Randall Gay). Jerheme Urban fumbles (forced by Randall Gay), recovered by Darren Sharper at 50 and returned for 13 yards (tackle by Lyle Sendlein). Penalty on Will Smith: Unsportsmanlike Conduct (Offsetting), Penalty on Jeremy Bridges: Unsportsmanlike Conduct (Offsetting), Penalty on Deuce Lutui: Unsportsmanlike Conduct (Offsetting)",0.040,-3.120
1,9:00,1,10,ARI 37,7,7,Pierre Thomas left end for 8 yards (tackle by Karlos Dansby),3.120,3.650
1,8:35,2,2,ARI 29,7,7,Pierre Thomas left guard for no gain (tackle by Chike Okeafor and Karlos Dansby),3.650,2.940
1,7:54,3,2,ARI 29,7,7,Drew Brees pass complete short left to Marques Colston for 12 yards (tackle by Bryant McFadden),2.940,4.440
1,7:10,1,10,ARI 17,7,13,"Drew Brees pass complete deep left to Jeremy Shockey for 17 yards, touchdown",4.440,7.000
1,,,,ARI 2,7,14,Garrett Hartley kicks extra point good,0.000,0.000
1,,,,NOR 30,7,14,"Thomas Morstead kicks off 70 yards, returned by LaRod Stephens-Howling for 31 yards (tackle by Pierson Prioleau)",0.000,1.000
1,6:54,1,10,ARI 31,7,14,"Kurt Warner for no gain. Kurt Warner fumbles, recovered by Kurt Warner at ARI-28",1.000,0.060
1,6:19,2,13,ARI 28,7,14,Kurt Warner pass incomplete short right intended for Larry Fitzgerald,0.060,-0.630
1,6:13,,,,7,14,Timeout #1 by Arizona Cardinals,0.000,-0.630
1,6:13,3,13,ARI 28,7,14,Kurt Warner pass complete short middle to Early Doucet for 7 yards (tackle by Randall Gay),-0.630,-1.040
1,5:33,4,6,ARI 35,7,14,"Ben Graham punts 42 yards, fair catch by Reggie Bush",-1.040,-0.480
1,5:25,1,10,NOR 23,7,14,Pierre Thomas left guard for 9 yards (tackle by Chike Okeafor),0.480,1.150
1,4:46,2,1,NOR 32,7,14,Pierre Thomas right tackle for 4 yards (tackle by Karlos Dansby and Monty Beisel),1.150,1.330
1,4:05,1,10,NOR 36,7,14,Drew Brees pass complete short left to Pierre Thomas for 2 yards (tackle by Alan Branch),1.330,1.060
1,3:17,2,8,NOR 38,7,14,Drew Brees pass complete short right to Devery Henderson for 16 yards (tackle by Adrian Wilson),1.060,2.520
1,2:43,1,10,ARI 46,7,20,"Reggie Bush left tackle for 46 yards, touchdown",2.520,7.000
1,,,,ARI 2,7,21,Garrett Hartley kicks extra point good,0.000,0.000
