Unnamed: 0,ARI,NOR
First Downs,15,27
Rush-Yds-TDs,15-101-2,34-171-2
Cmp-Att-Yd-TD-INT,24-36-266-0-1,23-32-247-3-0
Sacked-Yards,1-8,0-0
Net Pass Yards,258,247
Total Yards,359,418
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,3-22,6-44
Third Down Conv.,1-8,7-13
Fourth Down Conv.,0-1,0-1
Time of Possession,23:33,36:27
