Unnamed: 0,LVR,LAC
First Downs,18,18
Rush-Yds-TDs,13-64-0,31-76-0
Cmp-Att-Yd-TD-INT,22-37-295-2-3,26-34-279-3-0
Sacked-Yards,6-39,0-0
Net Pass Yards,256,279
Total Yards,320,355
Fumbles-Lost,3-0,1-0
Turnovers,3,0
Penalties-Yards,3-11,5-21
Third Down Conv.,5-11,6-14
Fourth Down Conv.,1-2,0-1
Time of Possession,27:28,32:32
