Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Austin Ekeler left tackle for 8 yards (tackle by Denzel Perryman),0.610,1.140
1,14:45,2,2,LAC 33,0,0,Justin Herbert pass complete short right to Keenan Allen for 1 yard (tackle by Johnathan Abram),1.140,0.560
1,14:07,3,1,LAC 34,0,0,Zander Horvath up the middle for 2 yards (tackle by Maxx Crosby and Johnathan Hankins),0.560,1.330
1,13:24,1,10,LAC 36,0,0,Austin Ekeler right tackle for 2 yards (tackle by Maxx Crosby),1.330,1.060
1,12:50,2,8,LAC 38,0,0,Justin Herbert pass complete short left to Joshua Kelley for 9 yards (tackle by Jayon Brown),1.060,2.060
1,12:13,1,10,LAC 47,0,0,Austin Ekeler up the middle for 4 yards (tackle by Chandler Jones),2.060,2.060
1,11:36,2,6,LVR 49,0,0,Austin Ekeler right tackle for -2 yards (tackle by Nate Hobbs),2.060,1.090
1,10:59,3,8,LAC 49,0,0,Justin Herbert pass complete short middle to Gerald Everett for 25 yards (tackle by Duron Harmon),1.090,3.840
1,10:19,1,10,LVR 26,0,0,Justin Herbert pass complete short left to Josh Palmer for -3 yards (tackle by Denzel Perryman),3.840,2.890
1,9:42,2,13,LVR 29,0,0,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by Rock Ya-Sin),2.890,2.740
1,9:18,3,9,LVR 25,0,0,Justin Herbert pass incomplete short middle intended for Mike Williams,2.740,1.800
1,9:12,4,9,LVR 25,0,3,Dustin Hopkins 43 yard field goal good,1.800,3.000
1,9:03,,,LAC 35,0,3,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,9:03,1,10,LVR 25,0,3,Derek Carr pass complete short right to Davante Adams for 11 yards (tackle by Kenneth Murray and Bryce Callahan),0.610,1.330
1,8:21,1,10,LVR 36,0,3,Derek Carr sacked by Derwin James for -7 yards,1.330,-0.160
1,7:40,2,17,LVR 29,0,3,Derek Carr pass incomplete deep left intended for Davante Adams,-0.160,-0.820
1,7:33,3,17,LVR 29,0,3,Derek Carr pass complete deep right to Davante Adams for 21 yards (tackle by Alohi Gilman),-0.820,2.260
1,7:13,1,10,LVR 50,0,3,Josh Jacobs left end for 3 yards (tackle by Kyle Van Noy),2.260,2.120
1,6:34,2,7,LAC 47,0,3,Derek Carr pass complete short right to Jakob Johnson for 1 yard (tackle by Asante Samuel),2.120,1.550
1,5:48,3,6,LAC 46,0,3,Derek Carr pass complete short middle to Mack Hollins for 16 yards (tackle by Bryce Callahan),1.550,3.580
1,5:07,1,10,LAC 30,0,3,Josh Jacobs right tackle for 4 yards (tackle by Kenneth Murray and Drue Tranquill),3.580,3.570
1,4:26,2,6,LAC 26,0,3,Derek Carr pass incomplete short right,3.570,2.870
1,4:07,3,6,LAC 26,0,3,Derek Carr pass complete short right to Davante Adams for 22 yards (tackle by Michael Davis),2.870,6.280
1,3:26,1,4,LAC 4,0,3,Josh Jacobs left end for -1 yards (tackle by Khalil Mack),6.280,5.150
1,2:47,2,5,LAC 5,0,3,Derek Carr pass incomplete short left intended for Davante Adams,5.150,4.260
1,2:37,3,5,LAC 5,0,3,Derek Carr pass incomplete short left intended for Darren Waller,4.260,3.010
1,2:33,4,5,LAC 5,3,3,Daniel Carlson 23 yard field goal good,3.010,3.000
1,2:29,,,LVR 35,3,3,"Daniel Carlson kicks off 63 yards, out of bounds",0.000,1.600
1,2:29,1,10,LAC 40,3,3,Justin Herbert pass complete short right to Josh Palmer for 3 yards (tackle by Rock Ya-Sin),1.600,1.460
1,1:27,2,7,LAC 43,3,3,Justin Herbert pass complete short right to Zander Horvath for 5 yards (tackle by Divine Deablo),1.460,1.420
1,1:09,3,2,LAC 48,3,3,Austin Ekeler left guard for 1 yard (tackle by Bilal Nichols and Divine Deablo),1.420,-0.130
1,0:40,4,1,LAC 49,3,3,JK Scott punts 49 yards downed by Amen Ogbongbemiga,-0.130,0.380
1,0:28,1,10,LVR 2,3,3,Derek Carr pass complete short right to Davante Adams for 5 yards (tackle by Asante Samuel),-0.380,-0.420
Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,LVR 7,3,3,Josh Jacobs right guard for 3 yards (tackle by Joey Bosa and Morgan Fox),-0.420,-0.480
2,14:11,3,2,LVR 10,3,3,Brandon Bolden left guard for 1 yard (tackle by Austin Johnson and Khalil Mack),-0.480,-2.490
2,13:29,4,1,LVR 11,3,3,AJ Cole punts 56 yards out of bounds,-2.490,-1.140
2,13:18,1,10,LAC 33,3,3,Sony Michel left end for -5 yards (tackle by Nate Hobbs),1.140,-0.080
2,12:40,2,15,LAC 28,3,3,Justin Herbert pass complete deep right to Keenan Allen for 19 yards (tackle by Trevon Moehrig),-0.080,2.060
2,12:01,1,10,LAC 47,3,3,Justin Herbert pass complete deep right to Keenan Allen for 42 yards (tackle by Trevon Moehrig),2.060,4.840
2,11:28,1,10,LVR 11,3,3,Sony Michel up the middle for 3 yards (tackle by Maxx Crosby),4.840,4.700
2,10:50,2,7,LVR 8,3,3,Justin Herbert pass complete short right to Tre' McKitty for 3 yards. Tre' McKitty fumbles (forced by Nate Hobbs) (tackle by Maxx Crosby),4.700,4.440
2,10:17,3,4,LVR 5,3,3,Justin Herbert scrambles up the middle for 3 yards (tackle by Nate Hobbs),4.440,5.120
2,9:56,3,1,LVR 2,3,3,"Penalty on Nate Hobbs: Unnecessary Roughness / Defense, 1 yard (accepted) (no play)",5.120,6.970
2,9:56,1,1,LVR 1,3,3,Justin Herbert pass incomplete short right intended for Richard Rodgers,6.970,5.910
2,9:42,2,1,LVR 1,3,3,Justin Herbert pass incomplete short left intended for Gerald Everett,5.910,5.170
2,9:38,3,1,LVR 1,3,9,"Justin Herbert pass complete to Zander Horvath for 1 yard, touchdown",5.170,7.000
2,9:34,,,LVR 15,3,10,Dustin Hopkins kicks extra point good,0.000,0.000
2,9:34,,,LAC 35,3,10,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,9:34,1,10,LVR 25,3,10,Derek Carr pass complete short left to Davante Adams for 5 yards (tackle by Derwin James),0.610,0.740
2,8:56,2,5,LVR 30,3,10,Derek Carr pass complete short middle to Darren Waller for 15 yards (tackle by Nasir Adderley),0.740,1.930
2,8:22,1,10,LVR 45,3,10,Josh Jacobs up the middle for 3 yards (tackle by Otito Ogbonnia),1.930,1.790
2,7:38,2,7,LVR 48,3,10,Derek Carr pass incomplete deep left intended for Ameer Abdullah,1.790,1.090
2,7:30,3,7,LVR 48,3,10,"Derek Carr sacked by Khalil Mack for -7 yards Penalty on LVR: Offensive Holding, 10 yards (declined)",1.090,-0.650
2,7:15,4,14,LVR 41,3,10,"AJ Cole punts 50 yards, fair catch by DeAndre Carter at LAC-9",-0.650,0.380
2,7:07,1,10,LAC 9,3,10,Sony Michel up the middle for 3 yards (tackle by Bilal Nichols and Clelin Ferrell),-0.380,-0.560
2,6:22,2,7,LAC 12,3,10,Justin Herbert pass complete short right to Austin Ekeler for 8 yards (tackle by Rock Ya-Sin),-0.560,0.280
2,5:10,1,10,LAC 20,3,10,"Justin Herbert scrambles for 12 yards (tackle by Johnathan Abram and Denzel Perryman). Penalty on Tre' McKitty: Offensive Holding, 10 yards (accepted) (no play)",0.280,-0.760
2,5:14,1,20,LAC 10,3,10,Justin Herbert pass complete short middle to Tre' McKitty for 12 yards (tackle by Jayon Brown and Divine Deablo),-0.760,0.000
2,4:37,2,8,LAC 22,3,10,Justin Herbert pass complete short middle to DeAndre Carter for 11 yards (tackle by Rock Ya-Sin),0.000,1.140
2,3:58,1,10,LAC 33,3,10,Justin Herbert pass complete deep left to DeAndre Carter for 30 yards (tackle by Johnathan Abram),1.140,3.120
2,3:11,1,10,LVR 37,3,10,Joshua Kelley right guard for 3 yards (tackle by Nate Hobbs),3.120,2.980
2,2:28,2,7,LVR 34,3,10,"Penalty on Gerald Everett: False Start, 5 yards (accepted) (no play)",2.980,2.300
2,2:25,2,12,LVR 39,3,10,Justin Herbert pass complete short right to Gerald Everett for 11 yards (tackle by Divine Deablo and Denzel Perryman),2.300,3.070
2,1:58,3,1,LVR 28,3,10,Austin Ekeler left guard for no gain (tackle by Bilal Nichols),3.070,1.720
2,1:46,4,1,LVR 28,3,10,Justin Herbert up the middle for no gain (tackle by Maxx Crosby and Andrew Billings),1.720,-0.810
2,1:38,1,10,LVR 28,3,10,Derek Carr sacked by Khalil Mack for -3 yards,0.810,-0.140
2,1:01,2,13,LVR 25,3,10,Derek Carr pass deep middle intended for Darren Waller is intercepted by Drue Tranquill at LAC-49 and returned for 20 yards (tackle by Brandon Bolden),-0.140,-3.510
2,0:45,1,10,LVR 31,3,10,Austin Ekeler right tackle for 8 yards (tackle by Rock Ya-Sin and Duron Harmon),3.510,4.050
2,0:40,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:40,2,2,LVR 23,3,16,"Justin Herbert pass complete deep middle to DeAndre Carter for 23 yards, touchdown",4.050,7.000
2,0:35,,,LVR 15,3,17,Dustin Hopkins kicks extra point good,0.000,0.000
2,0:35,,,LAC 35,3,17,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,0:35,1,10,LVR 25,3,17,Brandon Bolden left end for 1 yard (tackle by Khalil Mack and Kenneth Murray),0.610,0.200
Quarter,Time,Down,ToGo,Location,LVR,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,3,17,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,LVR 25,3,17,Derek Carr pass complete short left to Davante Adams for 11 yards (tackle by Derwin James),0.610,1.330
3,14:38,1,10,LVR 36,3,17,Derek Carr pass complete deep left to Davante Adams for 41 yards (tackle by Michael Davis and Kyle Van Noy),1.330,4.040
3,13:50,1,10,LAC 23,3,17,Brandon Bolden up the middle for 5 yards (tackle by Drue Tranquill and Bryce Callahan),4.040,4.210
3,13:08,2,5,LAC 18,3,17,Derek Carr pass incomplete short right,4.210,3.490
3,12:45,3,5,LAC 18,9,17,"Derek Carr pass complete to Brandon Bolden for 18 yards, touchdown",3.490,7.000
3,12:39,,,LAC 15,10,17,Daniel Carlson kicks extra point good,0.000,0.000
3,12:39,,,LVR 35,10,17,"Daniel Carlson kicks off 53 yards, returned by Joshua Kelley for 15 yards (tackle by Roderic Teamer)",0.000,0.740
3,12:34,1,10,LAC 27,10,17,Austin Ekeler right tackle for no gain (tackle by Maxx Crosby),0.740,0.200
3,11:57,2,10,LAC 27,10,17,Justin Herbert pass complete short left to Austin Ekeler for 13 yards (tackle by Johnathan Abram),0.200,1.600
3,11:22,1,10,LAC 40,10,17,Justin Herbert pass complete short middle to Tre' McKitty for 9 yards (tackle by Johnathan Abram),1.600,2.270
3,10:56,2,1,LAC 49,10,17,Joshua Kelley left end for 6 yards (tackle by Andrew Billings),2.270,2.590
3,10:27,1,10,LVR 45,10,17,Justin Herbert pass complete short right to Josh Palmer for 5 yards (tackle by Johnathan Abram and Roderic Teamer),2.590,2.720
3,9:43,2,5,LVR 40,10,17,Joshua Kelley left end for no gain (tackle by Andrew Billings),2.720,2.010
3,9:05,3,5,LVR 40,10,17,Justin Herbert pass complete short right to Austin Ekeler for 5 yards (tackle by Johnathan Abram),2.010,3.250
3,8:17,1,10,LVR 35,10,17,Justin Herbert pass complete short left to Joshua Kelley for 5 yards (tackle by Nate Hobbs),3.250,3.380
3,7:39,2,5,LVR 30,10,17,Joshua Kelley up the middle for 12 yards (tackle by Johnathan Abram),3.380,4.370
3,7:00,1,10,LVR 18,10,17,Justin Herbert pass incomplete short left intended for Josh Palmer,4.370,3.800
3,6:50,2,10,LVR 18,10,23,"Justin Herbert pass complete short left to Gerald Everett for 18 yards, touchdown",3.800,7.000
3,6:42,,,LVR 15,10,24,Dustin Hopkins kicks extra point good,0.000,0.000
3,6:42,,,LAC 35,10,24,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,6:42,1,10,LVR 25,10,24,Derek Carr pass complete short right to Davante Adams for 10 yards (tackle by Derwin James),0.610,1.270
3,5:50,1,10,LVR 35,10,24,Josh Jacobs left guard for 7 yards (tackle by Kyle Van Noy),1.270,1.670
3,5:21,2,3,LVR 42,10,24,Josh Jacobs up the middle for 18 yards (tackle by Derwin James),1.670,2.920
3,4:41,1,10,LAC 40,10,24,Josh Jacobs left guard for 6 yards (tackle by Nasir Adderley),2.920,3.180
3,4:09,2,4,LAC 34,10,24,Derek Carr pass incomplete short left intended for Hunter Renfrow,3.180,2.480
3,4:04,3,4,LAC 34,10,24,Derek Carr pass incomplete short right intended for Hunter Renfrow,2.480,1.080
3,3:50,,,,,,Timeout #1 by Los Angeles Chargers,,
3,3:50,4,4,LAC 34,10,24,"Derek Carr pass complete short middle to Hunter Renfrow for 9 yards. Hunter Renfrow fumbles (forced by Nasir Adderley), recovered by Hunter Renfrow at LAC-25 (tackle by Nasir Adderley)",1.080,3.910
3,3:08,1,10,LAC 25,10,24,Davante Adams sacked by Joey Bosa for -10 yards,3.910,2.010
