Unnamed: 0,STL,BUF
First Downs,17,17
Rush-Yds-TDs,27-78-1,20-61-0
Cmp-Att-Yd-TD-INT,19-39-209-1-1,25-33-247-1-1
Sacked-Yards,1-2,5-27
Net Pass Yards,207,220
Total Yards,285,281
Fumbles-Lost,2-0,2-1
Turnovers,1,2
Penalties-Yards,2-17,2-15
Third Down Conv.,7-17,3-12
Fourth Down Conv.,1-1,0-0
Time of Possession,29:24,30:36
