Quarter,Time,Down,ToGo,Location,SDG,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,1,10,OAK 25,0,0,Derek Carr pass complete short right to Seth Roberts for 6 yards (tackle by Casey Hayward),0.610,0.870
1,14:26,2,4,OAK 31,0,0,DeAndre Washington right tackle for 8 yards (tackle by Melvin Ingram),0.870,1.530
1,13:45,1,10,OAK 39,0,0,Derek Carr pass incomplete deep right intended for Amari Cooper,1.530,0.990
1,13:40,2,10,OAK 39,0,0,Derek Carr pass incomplete short left intended for DeAndre Washington is intercepted by Brandon Mebane at OAK-35 and returned for 5 yards,0.990,-3.580
1,13:32,1,10,OAK 30,0,0,Melvin Gordon right guard for no gain (tackle by Reggie Nelson and Perry Riley),3.580,3.030
1,12:53,2,10,OAK 30,0,0,Philip Rivers pass complete short left to Tyrell Williams for 8 yards (tackle by Reggie Nelson),3.030,3.400
1,12:09,3,2,OAK 22,0,0,"Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by Perry Riley). Antonio Gates fumbles (forced by Perry Riley), recovered by Reggie Nelson at OAK-11 (tackle by Antonio Gates)",3.400,0.370
1,12:01,1,10,OAK 11,0,0,Derek Carr pass incomplete short left intended for Amari Cooper (defended by Melvin Ingram),-0.370,-0.780
1,11:58,2,10,OAK 11,0,0,Derek Carr pass incomplete short left intended for Jalen Richard,-0.780,-1.420
1,11:53,3,10,OAK 11,0,0,Derek Carr pass complete short right to Amari Cooper for 11 yards (tackle by Casey Hayward),-1.420,0.410
1,11:14,1,10,OAK 22,0,0,Jalen Richard left tackle for 2 yards (tackle by Kyle Emanuel and Joey Bosa),0.410,0.140
1,10:33,2,8,OAK 24,0,0,Jalen Richard right guard for 5 yards (tackle by Kyle Emanuel),0.140,0.100
1,9:49,3,3,OAK 29,0,0,Derek Carr pass complete deep left to Amari Cooper for 26 yards (tackle by Steve Williams),0.100,0.100
1,9:26,3,3,OAK 29,0,0,Timeout #1 by Los Angeles Chargers,0.100,2.590
1,9:26,1,10,SDG 45,0,0,Derek Carr sacked by Jatavis Brown for -1 yards,2.590,1.910
1,8:49,2,11,SDG 46,0,0,"DeAndre Washington right guard for 7 yards (tackle by Korey Toomer). Penalty on Gabe Jackson: Offensive Holding, 10 yards (no play)",1.910,0.560
1,8:26,2,21,OAK 44,0,0,Derek Carr pass complete short middle to Jalen Richard for 22 yards (tackle by Korey Toomer),0.560,3.310
1,7:41,1,10,SDG 34,0,0,Jalen Richard right tackle for 7 yards (tackle by Craig Mager),3.310,3.720
1,7:00,2,3,SDG 27,0,0,Jalen Richard middle for 4 yards (tackle by Joshua Perry),3.720,4.040
1,6:17,1,10,SDG 23,0,0,Derek Carr pass complete short left to DeAndre Washington for 5 yards (tackle by Joshua Perry),4.040,4.210
1,5:43,2,5,SDG 18,0,0,Derek Carr pass complete short right to Michael Crabtree for 15 yards (tackle by Casey Hayward),4.210,4.210
1,4:54,2,5,SDG 18,0,0,Timeout #1 by Oakland Raiders,4.210,6.510
1,4:54,1,3,SDG 3,0,0,DeAndre Washington middle for 1 yard (tackle by Brandon Mebane),6.510,5.720
1,4:14,2,2,SDG 2,0,0,Derek Carr pass incomplete short right intended for Seth Roberts (defended by Dwight Lowery),5.720,4.950
1,4:08,3,2,SDG 2,0,0,Derek Carr pass incomplete short left intended for Amari Cooper,4.950,3.250
1,4:03,4,2,SDG 2,0,3,Sebastian Janikowski 20 yard field goal good,3.250,3.000
1,4:03,,,OAK 35,0,3,"Sebastian Janikowski kicks off 65 yards, returned by Dexter McCluster for 20 yards (tackle by Jamize Olawale)",0.000,-0.280
1,3:55,1,10,SDG 20,0,3,Philip Rivers pass incomplete deep middle intended for Travis Benjamin is intercepted by Sean Smith at OAK-41 and returned for 27 yards,0.280,-3.450
1,3:35,1,10,SDG 32,0,3,"Penalty on Rodney Hudson: False Start, 5 yards (no play)",3.450,3.120
1,3:35,1,15,SDG 37,0,3,DeAndre Washington right tackle for -4 yards (tackle by Korey Toomer),3.120,1.690
1,2:56,2,19,SDG 41,0,3,Derek Carr pass complete short right to Amari Cooper for 9 yards (tackle by Joey Bosa),1.690,2.210
1,2:11,3,10,SDG 32,0,3,"Penalty on Donald Penn: False Start, 5 yards (no play)",2.210,1.550
1,1:55,3,15,SDG 37,0,3,Derek Carr pass complete short middle to DeAndre Washington for 5 yards (tackle by Jatavis Brown),1.550,1.240
1,1:32,4,10,SDG 32,0,3,Sebastian Janikowski 50 yard field goal no good,1.240,-1.600
1,1:27,1,10,SDG 40,0,3,Philip Rivers pass incomplete short right intended for Hunter Henry,1.600,1.050
1,1:23,2,10,SDG 40,0,3,Philip Rivers pass complete short right to Travis Benjamin for 6 yards (tackle by David Amerson),1.050,1.160
1,0:45,3,4,SDG 46,0,3,Philip Rivers pass complete short left to Dontrelle Inman for 3 yards (tackle by Sean Smith),1.160,-0.130
1,0:41,4,1,SDG 49,0,3,"Penalty on Denico Autry: Neutral Zone Infraction, 6 yards (no play)",-0.130,2.590
1,0:10,1,10,OAK 45,0,3,Melvin Gordon right tackle for 8 yards (tackle by Perry Riley),2.590,3.120
Quarter,Time,Down,ToGo,Location,SDG,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,OAK 37,0,3,Melvin Gordon middle for -1 yards (tackle by Khalil Mack),3.120,2.280
2,14:17,3,3,OAK 38,0,3,Philip Rivers pass complete short middle to Antonio Gates for 9 yards (tackle by Perry Riley),2.280,3.640
2,13:38,1,10,OAK 29,0,3,Melvin Gordon left guard for no gain (tackle by Justin Ellis),3.640,3.100
2,13:13,2,10,OAK 29,6,3,"Philip Rivers pass complete deep middle to Tyrell Williams for 29 yards, touchdown",3.100,7.000
2,13:13,,,OAK 29,7,3,Josh Lambo kicks extra point good,0.000,0.000
2,13:13,,,SDG 35,7,3,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
2,13:07,1,10,OAK 25,7,3,Derek Carr pass complete short left to Amari Cooper for 7 yards (tackle by Steve Williams),0.610,1.010
2,12:26,2,3,OAK 32,7,3,Derek Carr pass complete short middle to DeAndre Washington for 1 yard (tackle by Melvin Ingram),1.010,0.430
2,11:37,3,2,OAK 33,7,3,Jamize Olawale left tackle for 17 yards (tackle by Dexter McCoil),0.430,2.260
2,10:52,1,10,,7,3,Jalen Richard left tackle for 6 yards (tackle by Steve Williams),2.260,2.520
2,10:12,2,4,SDG 44,7,3,Jalen Richard middle for -2 yards (tackle by Joey Bosa),2.520,1.550
2,9:33,3,6,SDG 46,7,3,Derek Carr pass complete deep middle to Amari Cooper for 21 yards (tackle by Steve Williams),1.550,3.910
2,8:45,1,10,SDG 25,7,3,Jalen Richard left tackle for 5 yards (tackle by Jeremiah Attaochu),3.910,4.040
2,8:11,2,5,SDG 20,7,3,"Derek Carr pass incomplete short right intended for DeAndre Washington. Penalty on Jatavis Brown: Defensive Pass Interference, 12 yards (no play)",4.040,5.370
2,8:06,1,8,SDG 8,7,3,Derek Carr pass incomplete short left intended for Amari Cooper,5.370,4.570
2,8:01,2,8,SDG 8,7,3,DeAndre Washington middle for no gain (tackle by Craig Mager),4.570,3.580
2,7:20,3,8,SDG 8,7,3,Derek Carr pass incomplete short middle intended for Michael Crabtree,3.580,2.950
2,7:16,4,8,SDG 8,7,6,Sebastian Janikowski 26 yard field goal good,2.950,3.000
2,7:16,,,OAK 35,7,6,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
2,7:13,1,10,SDG 25,7,6,"Penalty on Chris Hairston: False Start, 5 yards (no play)",0.610,0.280
2,7:13,1,15,SDG 20,7,6,Philip Rivers pass complete short right to Travis Benjamin for 54 yards (tackle by Reggie Nelson),0.280,3.840
2,6:35,1,10,OAK 26,7,6,Dexter McCluster left tackle for 1 yard (tackle by Karl Joseph and Sean Smith),3.840,3.430
2,5:55,2,9,OAK 25,7,6,Melvin Gordon middle for 2 yards (tackle by Karl Joseph and Cory James),3.430,3.010
2,5:10,3,7,OAK 23,7,6,Philip Rivers pass complete short middle to Tyrell Williams for 5 yards (tackle by David Amerson),3.010,2.370
2,4:28,4,2,OAK 18,10,6,Josh Lambo 36 yard field goal good,2.370,3.000
2,4:28,,,SDG 35,10,6,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
2,4:24,1,10,OAK 25,10,6,Derek Carr pass complete short right to Jalen Richard for 4 yards (tackle by Kyle Emanuel),0.610,0.600
2,3:41,2,6,OAK 29,10,6,DeAndre Washington left guard for -1 yards (tackle by Corey Liuget),0.600,-0.230
2,2:59,3,7,OAK 28,10,6,Derek Carr pass incomplete short left intended for Michael Crabtree,-0.230,-1.500
2,2:55,4,7,OAK 28,10,6,"Marquette King punts 48 yards, out of bounds",-1.500,-0.540
2,2:47,1,10,SDG 24,10,6,Melvin Gordon left tackle for 9 yards (tackle by D.J. Hayden and Reggie Nelson),0.540,1.210
2,2:21,2,1,SDG 33,10,6,"Melvin Gordon middle for no gain (tackle by Perry Riley). Penalty on Dontrelle Inman: Illegal Crackback, 15 yards (no play)",1.210,-0.910
2,2:00,2,16,SDG 18,10,6,Philip Rivers pass incomplete deep left intended for Travis Benjamin (defended by Sean Smith),-0.910,-1.640
2,1:54,3,16,SDG 18,10,6,Philip Rivers pass incomplete deep middle intended for Dontrelle Inman is intercepted by Karl Joseph at OAK-35 and returned for 21 yards,-1.640,-2.650
2,1:39,1,10,SDG 44,10,6,Derek Carr sacked by Joey Bosa for -12 yards,2.650,0.490
2,1:02,2,22,OAK 44,10,6,Derek Carr pass complete short left to Jalen Richard for 3 yards (tackle by Steve Williams),0.490,0.230
2,0:26,3,19,OAK 47,10,6,Derek Carr pass complete short middle to Jalen Richard for 15 yards (tackle by Dexter McCoil),0.230,0.230
2,0:02,3,19,OAK 47,10,6,Timeout #2 by Oakland Raiders,0.230,0.230
2,0:02,3,19,OAK 47,10,6,Timeout #2 by Los Angeles Chargers,0.230,0.720
2,0:02,4,4,SDG 38,10,9,Sebastian Janikowski 56 yard field goal good,0.720,3.000
Quarter,Time,Down,ToGo,Location,SDG,OAK,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,10,9,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,SDG 25,10,9,"Philip Rivers sacked by Stacy McGee for -7 yards. Philip Rivers fumbles (forced by Stacy McGee), recovered by Chris Hairston at SDG-20",0.610,-0.610
3,14:14,2,15,SDG 20,10,9,Philip Rivers pass complete short middle to Hunter Henry for 59 yards (tackle by Sean Smith),-0.610,4.170
3,13:23,1,10,OAK 21,10,9,Melvin Gordon left tackle for 3 yards (tackle by Perry Riley),4.170,4.040
3,12:38,2,7,OAK 18,16,9,"Philip Rivers pass complete short left to Melvin Gordon for 18 yards, touchdown",4.040,7.000
3,12:38,,,OAK 18,17,9,Josh Lambo kicks extra point good,0.000,0.000
3,12:38,,,SDG 35,17,9,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
3,12:31,1,10,OAK 25,17,9,Derek Carr pass incomplete short right intended for Michael Crabtree,0.610,0.060
3,12:28,2,10,OAK 25,17,9,Derek Carr pass incomplete short right intended for Michael Crabtree,0.060,-0.620
3,12:22,3,10,OAK 25,17,9,Derek Carr pass complete short right to Michael Crabtree for 11 yards (tackle by Casey Hayward),-0.620,1.330
3,11:41,1,10,OAK 36,17,9,Derek Carr pass incomplete,1.330,0.790
3,11:34,2,10,OAK 36,17,15,"Derek Carr pass complete deep left to Amari Cooper for 64 yards, touchdown",0.790,7.000
3,11:34,,,SDG 36,17,16,Sebastian Janikowski kicks extra point good,0.000,0.000
3,11:34,,,OAK 35,17,16,"Sebastian Janikowski kicks off 59 yards, returned by Dexter McCluster for 19 yards (tackle by Brynden Trawick)",0.000,-0.610
3,11:19,1,10,SDG 25,17,16,Philip Rivers pass complete deep middle to Tyrell Williams for 50 yards (tackle by David Amerson). Penalty on Sean Smith: Defensive Holding (Declined),0.610,3.910
3,10:53,1,10,OAK 25,17,16,Melvin Gordon right end for 24 yards (tackle by Sean Smith),3.910,3.910
3,10:14,1,10,OAK 25,17,16,Timeout #1 by Los Angeles Chargers,3.910,6.970
3,10:14,1,1,OAK 1,23,16,"Philip Rivers pass complete short middle to Hunter Henry for 1 yard, touchdown",6.970,7.000
3,10:14,,,OAK 1,24,16,Josh Lambo kicks extra point good,0.000,0.000
3,10:14,,,SDG 35,24,16,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
3,10:10,1,10,OAK 25,24,16,Derek Carr pass incomplete short right intended for Andre Holmes,0.610,0.060
3,10:04,2,10,OAK 25,24,16,Derek Carr pass complete short right to Seth Roberts for 16 yards (tackle by Casey Hayward),0.060,1.660
3,9:34,1,10,OAK 41,24,16,DeAndre Washington middle for 5 yards (tackle by Jatavis Brown),1.660,1.800
3,8:51,2,5,OAK 46,24,16,DeAndre Washington middle for 7 yards (tackle by Steve Williams),1.800,2.460
3,8:17,1,10,SDG 47,24,16,Derek Carr pass complete short right to DeAndre Washington for 8 yards (tackle by Casey Hayward),2.460,2.990
3,8:09,2,2,SDG 39,24,16,"Penalty on Kelechi Osemele: False Start, 5 yards (no play)",2.990,2.320
3,7:18,2,7,SDG 44,24,16,Derek Carr pass complete short left to DeAndre Washington for 10 yards (tackle by Craig Mager and Jatavis Brown),2.320,3.310
3,6:34,1,10,SDG 34,24,16,Derek Carr pass incomplete short middle intended for Amari Cooper (defended by Steve Williams),3.310,2.770
3,6:27,2,10,SDG 34,24,16,Derek Carr middle for 7 yards (tackle by Jatavis Brown),2.770,3.010
3,5:39,3,3,SDG 27,24,16,"Penalty on Kelechi Osemele: False Start, 5 yards (no play)",3.010,2.350
3,5:25,3,8,SDG 32,24,16,Derek Carr pass complete short right to Jamize Olawale for 2 yards (tackle by Korey Toomer),2.350,1.430
3,4:46,4,6,SDG 30,24,19,Sebastian Janikowski 48 yard field goal good,1.430,3.000
3,4:46,,,OAK 35,24,19,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
3,4:41,1,10,SDG 25,24,19,Melvin Gordon middle for 9 yards (tackle by Reggie Nelson),0.610,1.280
3,4:00,2,1,SDG 34,24,19,"Melvin Gordon for 1 yard (tackle by Stacy McGee). Melvin Gordon fumbles (forced by Stacy McGee), recovered by Karl Joseph at SDG-38 (tackle by Derek Watt)",1.280,-3.050
3,3:54,1,10,SDG 38,24,19,Jalen Richard middle for 4 yards (tackle by Korey Toomer),3.050,3.050
3,3:19,2,6,SDG 34,24,19,Derek Carr for 6 yards (tackle by Craig Mager),3.050,3.710
3,2:43,1,10,SDG 28,24,19,Jamize Olawale middle for 2 yards (tackle by Casey Hayward),3.710,3.440
3,2:09,2,8,SDG 26,24,19,Derek Carr pass complete short left to Andre Holmes for 5 yards (tackle by Steve Williams),3.440,3.400
3,1:20,3,3,SDG 21,24,19,Derek Carr pass incomplete short left intended for Amari Cooper,3.400,2.160
3,1:15,4,3,SDG 21,24,25,"Derek Carr pass complete deep right to Michael Crabtree for 21 yards, touchdown",2.160,7.000
3,1:15,4,,SDG 21,24,27,"Two Point Attempt: Derek Carr pass complete to Amari Cooper, conversion succeeds",2.160,1.000
3,1:15,,,OAK 35,24,27,"Sebastian Janikowski kicks off 64 yards, returned by Dexter McCluster for 18 yards (tackle by Shilique Calhoun)",0.000,-0.150
3,1:04,1,10,SDG 19,24,27,Philip Rivers sacked by Dan Williams and Stacy McGee for -3 yards,0.150,-0.870
3,0:19,2,13,SDG 16,24,27,Philip Rivers pass incomplete deep middle intended for Travis Benjamin,-0.870,-1.590
3,0:13,3,13,SDG 16,24,27,Philip Rivers pass incomplete deep right intended for Tyrell Williams (defended by David Amerson),-1.590,-2.390
3,0:06,4,13,SDG 16,24,27,"Drew Kaser punts 16 yards, out of bounds",-2.390,-3.450
Quarter,Time,Down,ToGo,Location,SDG,OAK,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SDG 32,24,27,Derek Carr pass complete short left to Jalen Richard for 11 yards (tackle by Jatavis Brown),3.450,4.170
4,14:17,1,10,SDG 21,24,27,DeAndre Washington right guard for 6 yards (tackle by Casey Hayward),4.170,4.550
4,13:34,2,4,SDG 15,24,27,Derek Carr pass complete short left to Andre Holmes for 8 yards (tackle by Craig Mager),4.550,5.600
4,13:01,1,7,SDG 7,24,27,"Derek Carr pass incomplete short middle intended for Amari Cooper. Penalty on Dexter McCoil: Defensive Pass Interference, 6 yards (no play)",5.600,6.970
,,,,,,,"OAK challenged the incomplete pass ruling, and the play was upheld.",,
4,12:54,1,1,SDG 1,24,33,"Jamize Olawale middle for 1 yard, touchdown",6.970,7.000
4,12:54,,,SDG 1,24,34,Sebastian Janikowski kicks extra point good,0.000,0.000
4,12:54,,,OAK 35,24,34,"Sebastian Janikowski kicks off 58 yards, returned by Dexter McCluster for 18 yards (tackle by Brynden Trawick)",0.000,-0.610
4,12:46,1,10,SDG 25,24,34,Melvin Gordon left end for -1 yards (tackle by Khalil Mack),0.610,-0.070
4,12:08,2,11,SDG 24,24,34,Philip Rivers pass complete short left to Travis Benjamin for 11 yards (tackle by Karl Joseph),-0.070,1.270
4,11:34,1,10,SDG 35,24,34,Philip Rivers pass incomplete deep left intended for Dontrelle Inman (defended by Reggie Nelson),1.270,0.720
4,11:27,2,10,SDG 35,24,34,Philip Rivers pass complete short middle to Hunter Henry for 14 yards (tackle by Karl Joseph),0.720,2.190
4,10:52,1,10,SDG 49,24,34,Melvin Gordon left tackle for 1 yard (tackle by Perry Riley),2.190,1.780
4,10:07,2,9,,24,34,Philip Rivers pass complete short middle to Antonio Gates for 8 yards (tackle by Perry Riley),1.780,2.150
4,9:27,3,1,OAK 42,24,34,Derek Watt middle for 2 yards (tackle by Dan Williams and Khalil Mack),2.150,2.920
4,9:03,1,10,OAK 40,24,34,Philip Rivers pass complete short left to Dexter McCluster for 23 yards (tackle by Reggie Nelson),2.920,4.440
4,8:32,1,10,OAK 17,24,34,Melvin Gordon right tackle for 5 yards (tackle by Stacy McGee),4.440,4.690
4,7:53,2,5,OAK 12,24,34,Melvin Gordon middle for 5 yards (tackle by Karl Joseph and Sean Smith),4.690,5.600
4,7:07,1,7,OAK 7,24,34,Melvin Gordon right guard for 3 yards (tackle by Bruce Irvin),5.600,5.340
4,6:26,2,4,OAK 4,30,34,"Philip Rivers pass complete short left to Antonio Gates for 4 yards, touchdown",5.340,7.000
4,6:26,,,OAK 4,31,34,Josh Lambo kicks extra point good,0.000,0.000
4,6:26,,,SDG 35,31,34,"Josh Lambo kicks off 65 yards, touchback",0.000,-0.610
4,6:21,1,10,OAK 25,31,34,DeAndre Washington left guard for 1 yard (tackle by Brandon Mebane),0.610,0.200
