Unnamed: 0,SDG,OAK
First Downs,17,19
Rush-Yds-TDs,19-72-0,25-89-1
Cmp-Att-Yd-TD-INT,21-30-359-4-2,25-40-317-2-1
Sacked-Yards,2-8,3-17
Net Pass Yards,351,300
Total Yards,423,389
Fumbles-Lost,5-2,0-0
Turnovers,4,1
Penalties-Yards,4-38,6-36
Third Down Conv.,2-8,5-14
Fourth Down Conv.,0-1,1-1
Time of Possession,23:42,36:18
