Quarter,Time,Tm,Detail,SDG,OAK
1.0,4:00,Raiders,Sebastian Janikowski 20 yard field goal,0,3
2.0,13:07,Chargers,Tyrell Williams 29 yard pass from Philip Rivers (Josh Lambo kick),7,3
,7:13,Raiders,Sebastian Janikowski 26 yard field goal,7,6
,4:24,Chargers,Josh Lambo 36 yard field goal,10,6
,0:00,Raiders,Sebastian Janikowski 56 yard field goal,10,9
3.0,12:31,Chargers,Melvin Gordon 18 yard pass from Philip Rivers (Josh Lambo kick),17,9
,11:25,Raiders,Amari Cooper 64 yard pass from Derek Carr (Sebastian Janikowski kick),17,16
,10:10,Chargers,Hunter Henry 1 yard pass from Philip Rivers (Josh Lambo kick),24,16
,4:41,Raiders,Sebastian Janikowski 48 yard field goal,24,19
,1:09,Raiders,Michael Crabtree 21 yard pass from Derek Carr (Amari Cooper pass from Derek Carr),24,27
4.0,12:51,Raiders,Jamize Olawale 1 yard rush (Sebastian Janikowski kick),24,34
,6:21,Chargers,Antonio Gates 4 yard pass from Philip Rivers (Josh Lambo kick),31,34
