Unnamed: 0,NYJ,BUF
First Downs,15,26
Rush-Yds-TDs,24-74-2,31-169-1
Cmp-Att-Yd-TD-INT,19-29-183-1-0,22-39-328-1-1
Sacked-Yards,1-1,3-22
Net Pass Yards,182,306
Total Yards,256,475
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,8-52,6-43
Third Down Conv.,4-12,3-12
Fourth Down Conv.,1-1,1-4
Time of Possession,26:47,33:13
