Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Josh Adams,PHI,7,53,1,2,44,6.3,9,1.3,0,
Corey Clement,PHI,2,11,0,,8,4.0,3,1.5,0,
Wendell Smallwood,PHI,1,-4,0,,-4,-4.0,0,0.0,0,
Golden Tate,PHI,1,-8,0,0,-8,-8.0,0,0.0,0,
Carson Wentz,PHI,1,6,0,0,6,6.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Mark Ingram,NOR,16,103,2,5,43,2.7,60,3.8,3,5.3
Alvin Kamara,NOR,13,71,0,1,47,3.6,24,1.8,3,4.3
Taysom Hill,NOR,3,4,0,0,-2,-0.7,6,2.0,1,3.0
Dwayne Washington,NOR,3,-3,0,,-5,-1.7,2,0.7,0,
Teddy Bridgewater,NOR,1,-1,0,,-1,-1.0,0,0.0,0,
Zach Line,NOR,1,-1,0,,-1,-1.0,0,0.0,0,
