Unnamed: 0,BAL,NWE
First Downs,16,15
Rush-Yds-TDs,52-234-4,18-64-0
Cmp-Att-Yd-TD-INT,4-10-34-0-1,23-42-154-2-3
Sacked-Yards,0-0,3-22
Net Pass Yards,34,132
Total Yards,268,196
Fumbles-Lost,1-1,1-1
Turnovers,2,4
Penalties-Yards,3-15,5-41
Third Down Conv.,10-16,3-12
Fourth Down Conv.,0-0,1-2
Time of Possession,32:21,27:39
