Quarter,Time,Tm,Detail,BAL,NWE
1.0,14:43,Ravens,Ray Rice 83 yard rush (Billy Cundiff kick),7,0
,10:29,Ravens,Le'Ron McClain 1 yard rush (Billy Cundiff kick),14,0
,3:55,Ravens,Ray Rice 1 yard rush (Billy Cundiff kick),21,0
,1:19,Ravens,Billy Cundiff 27 yard field goal,24,0
2.0,11:23,Patriots,Julian Edelman 6 yard pass from Tom Brady (Stephen Gostkowski kick),24,7
3.0,6:18,Ravens,Billy Cundiff 23 yard field goal,27,7
,1:47,Patriots,Julian Edelman 1 yard pass from Tom Brady (Stephen Gostkowski kick),27,14
4.0,10:32,Ravens,Willis McGahee 3 yard rush (run failed),33,14
