Unnamed: 0,TAM,ATL
First Downs,15,14
Rush-Yds-TDs,26-74-0,22-70-0
Cmp-Att-Yd-TD-INT,17-31-261-1-1,17-38-187-0-4
Sacked-Yards,2-8,4-14
Net Pass Yards,253,173
Total Yards,327,243
Fumbles-Lost,1-1,0-0
Turnovers,2,4
Penalties-Yards,6-35,6-41
Third Down Conv.,4-13,3-14
Fourth Down Conv.,1-1,0-1
Time of Possession,29:34,30:26
