Quarter,Time,Tm,Detail,DET,DAL
1.0,11:22,Lions,Golden Tate 51 yard pass from Matthew Stafford (Matt Prater kick),7,0
,1:57,Lions,Reggie Bush 18 yard rush (Matt Prater kick),14,0
2.0,1:37,Cowboys,Terrance Williams 76 yard pass from Tony Romo (Dan Bailey kick),14,7
,0:03,Lions,Matt Prater 39 yard field goal,17,7
3.0,8:41,Lions,Matt Prater 37 yard field goal,20,7
,2:54,Cowboys,DeMarco Murray 1 yard rush (Dan Bailey kick),20,14
4.0,12:16,Cowboys,Dan Bailey 51 yard field goal,20,17
,2:32,Cowboys,Terrance Williams 8 yard pass from Tony Romo (Dan Bailey kick),20,24
