Unnamed: 0,DET,DAL
First Downs,19,18
Rush-Yds-TDs,22-90-1,21-73-1
Cmp-Att-Yd-TD-INT,28-42-323-1-1,19-31-293-2-0
Sacked-Yards,3-16,6-51
Net Pass Yards,307,242
Total Yards,397,315
Fumbles-Lost,4-2,3-1
Turnovers,3,1
Penalties-Yards,8-44,6-46
Third Down Conv.,4-11,6-14
Fourth Down Conv.,0-1,2-2
Time of Possession,29:33,30:27
