Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,DAL 20,0,0,DeMarco Murray right guard for 1 yard (tackle by James Ihedigbo and DeAndre Levy),0.280,-0.130
1,14:25,2,9,DAL 21,0,0,"Tony Romo pass complete short middle to Dez Bryant for 2 yards (tackle by Rashean Mathis). Dez Bryant fumbles (forced by Rashean Mathis), recovered by Dez Bryant at DAL-23",-0.130,-0.560
1,13:40,3,7,DAL 23,0,0,Tony Romo pass incomplete short right intended for Cole Beasley,-0.560,-1.830
1,13:35,4,7,DAL 23,0,0,"Chris Jones punts 41 yards, returned by Golden Tate for 2 yards (tackle by C.J. Spillman)",-1.830,-1.470
1,13:26,1,10,DET 38,0,0,"Matthew Stafford pass complete short left to Reggie Bush for no gain. Reggie Bush fumbles (forced by Barry Church), ball out of bounds at DET-38",1.470,0.920
1,12:50,2,10,DET 38,0,0,Matthew Stafford pass complete short left to Joique Bell for 11 yards (tackle by Brandon Carr),0.920,2.190
1,12:14,1,10,DET 49,0,0,Joique Bell right guard for no gain (tackle by Tyrone Crawford and Nick Hayden),2.190,1.650
1,11:34,2,10,DET 49,6,0,"Matthew Stafford pass complete deep middle to Golden Tate for 51 yards, touchdown",1.650,7.000
1,11:34,,,DAL 2,7,0,"Matt Prater kicks extra point good. Penalty on Orlando Scandrick: Defensive Offside, 5 yards",0.000,0.000
1,11:34,,,DET 40,7,0,"Sam Martin kicks off 60 yards, touchback",0.000,-0.280
1,11:22,1,10,DAL 20,7,0,DeMarco Murray right guard for no gain (tackle by Tahir Whitehead),0.280,-0.270
1,10:40,2,10,DAL 20,7,0,Tony Romo pass incomplete short middle intended for Jason Witten,-0.270,-0.960
1,10:34,3,10,DAL 20,7,0,Tony Romo pass complete deep left to Cole Beasley for 17 yards,-0.960,1.400
1,10:07,1,10,DAL 37,7,0,DeMarco Murray up the middle for 3 yards (tackle by James Ihedigbo),1.400,1.260
1,9:36,2,7,DAL 40,7,0,Tony Romo pass incomplete deep middle intended for Terrance Williams (defended by Darius Slay),1.260,0.560
1,9:28,3,7,DAL 40,7,0,Tony Romo pass incomplete short middle intended for Cole Beasley,0.560,-0.720
1,9:24,4,7,DAL 40,7,0,Chris Jones punts 59 yards. Penalty on Mohammed Seisay: Unnecessary Roughness,-0.720,0.380
1,9:07,1,10,DET 1,7,0,Jed Collins up the middle for 1 yard (tackle by Jeremy Mincey),-0.380,-0.710
1,8:33,2,9,DET 2,7,0,Joique Bell left tackle for 4 yards (tackle by Rolando McClain and Kyle Wilber),-0.710,-0.840
1,7:46,3,5,DET 6,7,0,Matthew Stafford pass incomplete short left intended for Reggie Bush,-0.840,-2.490
1,7:42,4,5,DET 6,7,0,"Sam Martin punts 38 yards, out of bounds. Penalty on Dekoda Watson: Running Into the Kicker, 6 yards (no play)",-2.490,-0.350
1,7:35,1,10,DET 12,7,0,Reggie Bush right tackle for no gain (tackle by Rolando McClain and Anthony Spencer),-0.350,-0.780
1,6:58,2,10,DET 12,7,0,Matthew Stafford pass complete short left to Golden Tate for 2 yards (tackle by Sterling Moore),-0.780,-1.190
1,6:13,3,8,DET 14,7,0,Matthew Stafford for 9 yards,-1.190,0.480
1,5:46,1,10,DET 23,7,0,Reggie Bush left end for 9 yards (tackle by Rolando McClain and Jeremy Mincey),0.480,1.150
1,5:10,2,1,DET 32,7,0,Joique Bell up the middle for 11 yards (tackle by J.J. Wilcox),1.150,1.800
1,4:34,1,10,DET 43,7,0,Matthew Stafford pass complete short left to Calvin Johnson for 8 yards (tackle by Brandon Carr),1.800,2.330
1,4:09,2,2,DAL 49,7,0,Matthew Stafford pass complete short right to Joique Bell for 18 yards (tackle by J.J. Wilcox),2.330,3.510
1,3:30,1,10,DAL 31,7,0,Joique Bell right guard for 9 yards (tackle by Rolando McClain),3.510,4.180
1,2:52,2,1,DAL 22,7,0,Joique Bell right guard for 4 yards (tackle by Orlando Scandrick and Rolando McClain),4.180,4.370
1,2:12,1,10,DAL 18,7,0,Matthew Stafford pass incomplete short right intended for Calvin Johnson,4.370,3.800
1,2:06,2,10,DAL 18,13,0,"Reggie Bush left end for 18 yards, touchdown",3.800,7.000
1,2:06,,,DAL 2,14,0,Matt Prater kicks extra point good,0.000,0.000
1,2:06,,,DET 35,14,0,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
1,1:57,1,10,DAL 20,14,0,Tony Romo pass complete short middle to Jason Witten for 13 yards (tackle by Ashlee Palmer),0.280,1.140
1,1:22,1,10,DAL 33,14,0,DeMarco Murray up the middle for 4 yards (tackle by Don Carey),1.140,1.130
1,0:46,2,6,DAL 37,14,0,"Tony Romo sacked by Darryl Tapp for -9 yards. Tony Romo fumbles (forced by Darryl Tapp), recovered by Cole Beasley at DAL-31",1.130,-0.360
1,0:02,3,12,DAL 31,14,0,Tony Romo pass complete short left to Jason Witten for 16 yards (tackle by James Ihedigbo),-0.360,2.060
Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DAL 47,14,0,Tony Romo pass incomplete short left intended for DeMarco Murray,2.060,1.520
2,14:54,2,10,DAL 47,14,0,Tony Romo sacked by James Ihedigbo for -9 yards,1.520,-0.360
2,14:12,3,19,DAL 38,14,0,Tony Romo pass incomplete deep middle intended for Terrance Williams,-0.360,-0.850
2,14:04,4,19,DAL 38,14,0,"Chris Jones punts 51 yards, fair catch by Jeremy Ross",-0.850,0.370
2,13:56,1,10,DET 11,14,0,Joique Bell right guard for 1 yard (tackle by Bruce Carter),-0.370,-0.710
2,13:18,2,9,DET 12,14,0,Matthew Stafford pass complete short left to Joique Bell for 3 yards (tackle by Kyle Wilber),-0.710,-0.950
2,12:45,3,6,DET 15,14,0,Matthew Stafford pass complete short middle to Golden Tate for 17 yards (tackle by J.J. Wilcox),-0.950,1.070
2,12:09,1,10,DET 32,14,0,Joique Bell right guard for 3 yards (tackle by Josh Brent),1.070,0.930
2,11:35,2,7,DET 35,14,0,Matthew Stafford pass complete short right to Calvin Johnson for 11 yards (tackle by Bruce Carter),0.930,1.990
2,10:56,1,10,DET 46,14,0,Matthew Stafford sacked by Jeremy Mincey for -3 yards,1.990,1.050
2,10:07,2,13,DET 43,14,0,Matthew Stafford pass incomplete deep right intended for Corey Fuller,1.050,0.370
2,10:02,3,13,DET 43,14,0,Matthew Stafford pass incomplete deep right intended for Golden Tate (defended by Brandon Carr),0.370,-0.520
2,9:53,4,13,DET 43,14,0,"Sam Martin punts 43 yards, fair catch by Dwayne Harris",-0.520,0.280
2,9:43,1,10,DAL 14,14,0,DeMarco Murray left tackle for 18 yards (tackle by DeAndre Levy),-0.280,1.070
