Quarter,Time,Tm,Detail,TAM,MIA
1.0,11:24,Buccaneers,Connor Barth 51 yard field goal,3,0
,6:38,Dolphins,Ronnie Brown 1 yard rush (Dan Carpenter kick failed),3,6
2.0,7:19,Dolphins,Dan Carpenter 49 yard field goal,3,9
,2:36,Buccaneers,Connor Barth 50 yard field goal,6,9
,1:25,Dolphins,Kory Sperry 5 yard pass from Chad Henne (Dan Carpenter kick),6,16
,0:05,Dolphins,Dan Carpenter 30 yard field goal,6,19
3.0,4:05,Buccaneers,Connor Barth 54 yard field goal,9,19
4.0,14:53,Buccaneers,Maurice Stovall 33 yard pass from Josh Freeman (Connor Barth kick),16,19
,6:04,Dolphins,Dan Carpenter 45 yard field goal,16,22
,1:14,Buccaneers,Cadillac Williams 1 yard rush (Connor Barth kick),23,22
,0:10,Dolphins,Dan Carpenter 25 yard field goal,23,25
