Unnamed: 0,TAM,MIA
First Downs,16,23
Rush-Yds-TDs,30-121-1,36-199-1
Cmp-Att-Yd-TD-INT,16-28-196-1-1,17-32-175-1-1
Sacked-Yards,4-16,0-0
Net Pass Yards,180,175
Total Yards,301,374
Fumbles-Lost,4-1,3-1
Turnovers,2,2
Penalties-Yards,9-77,3-30
Third Down Conv.,4-13,5-14
Fourth Down Conv.,0-1,0-0
Time of Possession,28:46,31:14
