Quarter,Time,Down,ToGo,Location,TAM,MIA,Detail,EPB,EPA
1,5:28,4,1,TAM 35,3,6,"Dirk Johnson punts 54 yards, muffed catch by Davone Bess, recovered by Davone Bess and returned for no gain",-1.040,0.350
1,5:17,1,10,MIA 12,3,6,Ricky Williams middle for 3 yards (tackle by Geno Hayes),-0.350,-0.500
1,4:42,2,7,MIA 15,3,6,Chad Henne pass complete short left to Joey Haynos for 2 yards (tackle by Geno Hayes),-0.500,-0.840
1,4:00,3,5,MIA 17,3,6,Chad Henne pass incomplete short middle intended for Davone Bess,-0.840,-2.320
1,3:53,4,5,MIA 17,3,6,Brandon Fields punts 31 yards,-2.320,-2.390
1,3:44,1,10,MIA 48,3,6,Josh Freeman pass complete short left to Earnest Graham for 16 yards (tackle by Gibril Wilson),2.390,3.450
1,3:09,1,10,MIA 32,3,6,"Josh Freeman for no gain. Akin Ayodele fumbles (forced by Michael Clayton), recovered by Akin Ayodele at MIA-34 for 2 yards (tackle by Michael Clayton)",3.450,-1.200
1,2:59,1,10,MIA 34,3,6,Chad Henne pass incomplete short right intended for Joey Haynos,1.200,0.660
1,2:52,2,10,MIA 34,3,6,Ronnie Brown right guard for 1 yard (tackle by Barrett Ruud),0.660,0.100
1,2:08,3,9,MIA 35,3,6,Chad Henne pass incomplete short left intended for Davone Bess,0.100,-1.040
1,2:03,4,9,MIA 35,3,6,"Brandon Fields punts 47 yards, returned by Clifton Smith for 12 yards (tackle by Nate Jones)",-1.040,-0.940
1,1:51,1,10,TAM 30,3,6,Josh Freeman pass complete short right to Jerramy Stevens for 15 yards (tackle by Akin Ayodele),0.940,1.930
1,1:12,1,10,TAM 45,3,6,"Derrick Ward right end for 1 yard (tackle by Vontae Davis). Penalty on Brian Clark: Offensive Holding, 10 yards",1.930,1.330
1,0:43,1,19,TAM 36,3,6,"Josh Freeman sacked by Charlie Anderson for 0 yards. Josh Freeman fumbles (forced by Charlie Anderson), recovered by Donald Penn at TAM-40",1.330,0.710
Quarter,Time,Down,ToGo,Location,TAM,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,15,TAM 40,3,6,"Penalty on Kellen Winslow: False Start, 5 yards (no play)",0.710,0.030
2,15:00,2,20,TAM 35,3,6,Josh Freeman pass incomplete short right intended for Derrick Ward (defended by Jason Taylor),0.030,-0.630
2,14:56,3,20,TAM 35,3,6,Derrick Ward right guard for 9 yards (tackle by Gibril Wilson and Tyrone Culver),-0.630,-0.460
2,14:21,4,11,TAM 44,3,6,Dirk Johnson punts 30 yards,-0.460,-0.670
2,14:10,1,10,MIA 26,3,6,Ricky Williams right guard for 5 yards (tackle by Sabby Piscitelli),0.670,0.810
2,13:27,2,5,MIA 31,3,6,Ronnie Brown middle for 7 yards (tackle by Geno Hayes and Tanard Jackson),0.810,1.470
2,12:46,1,10,MIA 38,3,6,Pat White pass incomplete short left intended for Davone Bess (defended by Aqib Talib),1.470,0.920
2,12:40,2,10,MIA 38,3,6,Ricky Williams right end for -5 yards (tackle by Ronde Barber),0.920,-0.430
2,11:57,3,15,MIA 33,3,6,Chad Henne pass complete deep left to Brian Hartline for 17 yards (tackle by Sabby Piscitelli),-0.430,2.260
2,11:11,1,10,,3,6,Ricky Williams middle for 2 yards (tackle by Quincy Black),2.260,1.980
2,10:39,2,8,TAM 48,3,6,Ricky Williams left end for 4 yards (tackle by Tim Crowder and Barrett Ruud),1.980,1.820
2,10:01,3,4,TAM 44,3,6,Chad Henne pass complete short left to Ronnie Brown for 5 yards (tackle by Quincy Black),1.820,2.980
2,9:22,1,10,TAM 39,3,6,Ronnie Brown middle for 3 yards (tackle by Quincy Black),2.980,2.850
2,8:46,2,7,TAM 36,3,6,Ronnie Brown left guard for 3 yards (tackle by Quincy Black and Barrett Ruud),2.850,2.540
2,8:07,3,4,TAM 33,3,6,Ricky Williams middle for 2 yards (tackle by Barrett Ruud),2.540,1.400
2,7:25,4,2,TAM 31,3,9,Dan Carpenter 49 yard field goal good,1.400,3.000
2,,,,MIA 30,3,9,"Dan Carpenter kicks off 67 yards, returned by Clifton Smith for 28 yards (tackle by Jason Allen)",0.000,1.000
2,7:12,1,10,TAM 31,3,9,"Josh Freeman sacked by Charlie Anderson for -8 yards. Josh Freeman fumbles (forced by Charlie Anderson), recovered by Cadillac Williams at TAM-27",1.000,-0.080
2,6:35,2,14,TAM 27,3,9,Cadillac Williams middle for 7 yards (tackle by Channing Crowder and Yeremiah Bell),-0.080,0.170
2,5:55,3,7,TAM 34,3,9,Josh Freeman middle for 11 yards (tackle by Gibril Wilson),0.170,1.930
2,5:16,1,10,TAM 45,3,9,Cadillac Williams left end for 14 yards (tackle by Yeremiah Bell and Gibril Wilson),1.930,2.850
2,4:37,1,10,MIA 41,3,9,Derrick Ward middle for 4 yards (tackle by Jason Ferguson),2.850,2.850
2,4:01,2,6,MIA 37,3,9,Derrick Ward right guard for 1 yard (tackle by Channing Crowder),2.850,2.280
2,3:22,3,5,MIA 36,3,9,"Josh Freeman pass incomplete short left intended for Michael Clayton. Penalty on Derrick Ward: Offensive Holding (Offsetting), Penalty on Nate Jones: Defensive Holding (Offsetting) (no play)",2.280,2.280
2,3:13,3,5,MIA 36,3,9,Josh Freeman pass complete short middle to Sammie Stroughter for 4 yards (tackle by Nate Jones),2.280,1.310
2,2:42,4,1,MIA 32,6,9,Connor Barth 50 yard field goal good,1.310,3.000
2,,,,TAM 30,,,"Connor Barth kicks off 68 yards, returned by Ted Ginn for 28 yards (tackle by Adam Hayward)",,
2,2:28,1,10,MIA 30,6,9,Chad Henne pass complete short right to Joey Haynos for 1 yard (tackle by Geno Hayes and Sabby Piscitelli),0.940,0.530
2,2:12,2,9,MIA 31,6,9,Chad Henne pass incomplete short left intended for Ronnie Brown,0.530,-0.160
2,2:07,3,9,MIA 31,6,9,Ronnie Brown left guard for 8 yards (tackle by Ronde Barber),-0.160,-0.780
2,2:00,4,1,MIA 39,6,9,"Brandon Fields punts 49 yards, returned by Clifton Smith for no gain. Penalty on Roy Miller: Illegal Block Above the , 6 yards",-0.780,0.380
2,1:49,1,10,TAM 6,6,9,Cadillac Williams left guard for -2 yards (tackle by Jason Taylor),-0.380,-0.930
2,1:43,,,,6,9,Timeout #1 by Miami Dolphins,0.000,-0.930
2,1:43,2,12,TAM 4,6,9,"Josh Freeman pass incomplete short right intended for Michael Clayton is intercepted by Jason Taylor at TAM-15. Penalty on TAM: Unsportsmanlike Conduct, 7 yards",-0.930,-5.370
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the original play was overturned.",,
2,1:38,1,8,TAM 8,6,9,Chad Henne pass complete short right to Ricky Williams for 3 yards (tackle by Quincy Black),5.370,5.150
2,1:33,,,,6,9,Timeout #2 by Miami Dolphins,0.000,5.150
2,1:33,2,5,TAM 5,6,15,"Chad Henne pass complete short middle to Kory Sperry for 5 yards, touchdown",5.150,7.000
2,,,,TAM 2,6,16,Dan Carpenter kicks extra point good,0.000,0.000
2,,,,MIA 30,6,16,"Dan Carpenter kicks off 66 yards, returned by Clifton Smith for 18 yards (tackle by Brian Hartline)",0.000,0.410
2,1:17,1,10,TAM 22,6,16,Josh Freeman pass complete short right to Kellen Winslow for 5 yards,0.410,0.540
2,1:15,2,5,TAM 27,6,16,Josh Freeman pass incomplete deep middle intended for Sammie Stroughter,0.540,-0.160
2,1:09,,,,6,16,Timeout #1 by Tampa Bay Buccaneers,0.000,-0.160
2,1:09,3,5,TAM 27,6,16,Josh Freeman sacked for -9 yards,-0.160,-2.240
2,1:03,,,,6,16,Timeout #3 by Miami Dolphins,0.000,-2.240
2,1:02,4,14,TAM 18,6,16,"Dirk Johnson punts 41 yards, returned by Ted Ginn for 7 yards (tackle by Niko Koutouvides)",-2.240,-2.130
2,0:52,1,10,MIA 48,6,16,Chad Henne pass incomplete short left intended for Joey Haynos (defended by Geno Hayes),2.130,1.580
2,0:46,2,10,MIA 48,6,16,Chad Henne pass complete short right to Ronnie Brown for 11 yards (tackle by Aqib Talib),1.580,2.850
2,0:38,1,10,TAM 41,6,16,Chad Henne pass complete short right to Kory Sperry for 13 yards (tackle by Aqib Talib),2.850,3.710
2,0:17,1,10,TAM 28,6,16,Chad Henne spiked the ball,3.710,3.170
2,0:16,2,10,TAM 28,6,16,Chad Henne pass complete deep left to Davone Bess for 16 yards (tackle by Sabby Piscitelli),3.170,4.780
2,0:10,1,10,TAM 12,6,19,Dan Carpenter 30 yard field goal good,4.780,3.000
2,,,,MIA 30,6,19,"Dan Carpenter kicks off 38 yards, returned by Maurice Stovall for 20 yards (tackle by Dan Carpenter)",0.000,0.940
Quarter,Time,Down,ToGo,Location,TAM,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 30,,,"Connor Barth kicks off 65 yards, returned by Ted Ginn for 15 yards. Penalty on Patrick Turner: Illegal Block Above the Waist, 10 yards",,
3,14:56,1,10,MIA 10,6,19,Ricky Williams middle for 4 yards (tackle by Tanard Jackson and Geno Hayes),-0.380,-0.460
3,14:19,2,6,MIA 14,6,19,Ricky Williams right tackle for 2 yards (tackle by Quincy Black),-0.460,-0.720
3,13:40,3,4,MIA 16,6,19,Ted Ginn left end for no gain (tackle by Sabby Piscitelli),-0.720,-2.390
3,13:22,4,4,MIA 16,6,19,"Brandon Fields punts 62 yards, returned by Clifton Smith for 12 yards (tackle by John Denney)",-2.390,-1.200
3,13:08,1,10,TAM 34,6,19,Cadillac Williams left end for no gain (tackle by Charlie Anderson),1.200,0.660
3,12:22,2,10,TAM 34,6,19,Josh Freeman pass complete short right to Maurice Stovall for no gain,0.660,-0.030
3,11:39,3,10,TAM 34,6,19,Josh Freeman right end for 2 yards,-0.030,-0.980
3,11:00,4,8,TAM 36,6,19,Dirk Johnson punts 33 yards,-0.980,-1.000
3,10:48,1,10,MIA 31,6,19,Chad Henne pass complete short right to Joey Haynos for 14 yards (tackle by Tanard Jackson),1.000,1.930
3,10:11,1,10,MIA 45,6,19,Ronnie Brown left guard for -7 yards (tackle by Quincy Black),1.930,0.440
3,9:27,2,17,MIA 38,6,19,Chad Henne pass complete short right to Ricky Williams for 2 yards (tackle by Barrett Ruud),0.440,0.040
3,8:44,3,15,MIA 40,6,19,Chad Henne pass incomplete deep right intended for Ted Ginn,0.040,-0.720
3,8:37,4,15,MIA 40,6,19,"Brandon Fields punts 53 yards, returned by Clifton Smith for 7 yards (tackle by Chris Clemons)",-0.720,0.280
3,8:23,1,10,TAM 14,6,19,Josh Freeman pass incomplete short left intended for Derrick Ward,-0.280,-0.750
3,8:16,2,10,TAM 14,6,19,Derrick Ward middle for 2 yards (tackle by Matt Roth),-0.750,-1.160
3,7:38,3,8,TAM 16,6,19,Josh Freeman pass complete short right to Sammie Stroughter for 9 yards (tackle by Tyrone Culver),-1.160,0.610
3,7:02,1,10,TAM 25,6,19,Derrick Ward left guard for 3 yards (tackle by Jason Ferguson),0.610,0.470
3,6:13,2,7,TAM 28,6,19,Josh Freeman pass incomplete short right intended for Michael Clayton (defended by Yeremiah Bell),0.470,-0.230
3,6:06,3,7,TAM 28,6,19,Josh Freeman pass complete short right to Kellen Winslow for 37 yards (tackle by Vontae Davis),-0.230,3.250
3,5:33,1,10,MIA 35,6,19,"Josh Freeman for no gain. Josh Freeman fumbles, recovered by Josh Freeman at MIA-48",3.250,0.950
3,4:56,2,23,MIA 48,6,19,Josh Freeman pass complete short middle to Kellen Winslow for 12 yards (tackle by Gibril Wilson),0.950,1.880
3,4:17,3,11,MIA 36,6,19,Josh Freeman pass incomplete deep middle intended for Kellen Winslow (defended by Nate Jones),1.880,0.880
3,4:10,4,11,MIA 36,9,19,Connor Barth 54 yard field goal good,0.880,3.000
3,,,,TAM 30,9,19,"Connor Barth kicks off 71 yards, returned by Ted Ginn for 24 yards (tackle by Quincy Black)",0.000,0.480
3,3:58,1,10,MIA 23,9,19,Ricky Williams right guard for 11 yards (tackle by Adam Hayward and Sabby Piscitelli),0.480,1.200
3,3:15,1,10,MIA 34,9,19,Pat White middle for 1 yard (tackle by Adam Hayward),1.200,0.790
3,2:36,2,9,MIA 35,9,19,Ricky Williams left guard for 19 yards (tackle by Tanard Jackson),0.790,2.520
3,1:57,1,10,TAM 46,9,19,"Ronnie Brown right tackle for 9 yards (tackle by Sabby Piscitelli). Ronnie Brown fumbles (forced by Sabby Piscitelli), recovered by Tanard Jackson at TAM-32 and returned for 5 yards (tackle by Ted Ginn)",2.520,-1.400
3,1:49,1,10,TAM 37,9,19,Josh Freeman pass incomplete deep middle intended for Kellen Winslow (defended by Gibril Wilson),1.400,0.860
3,1:42,2,10,TAM 37,9,19,Josh Freeman right end for 8 yards (tackle by Akin Ayodele),0.860,1.220
3,1:20,,,,9,19,Timeout #1 by Tampa Bay Buccaneers,0.000,1.220
3,1:20,3,2,TAM 45,9,19,Josh Freeman pass complete short middle to Michael Clayton for 3 yards (tackle by Yeremiah Bell),1.220,2.130
3,0:43,1,10,TAM 48,9,19,Cadillac Williams left tackle for no gain (tackle by Jason Taylor),2.130,1.580
3,0:01,2,10,TAM 48,9,19,Josh Freeman pass complete deep left to Kellen Winslow for 19 yards (tackle by Chris Clemons),1.580,3.380
Quarter,Time,Down,ToGo,Location,TAM,MIA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,MIA 33,15,19,"Josh Freeman pass complete deep left to Maurice Stovall for 33 yards, touchdown",3.380,7.000
4,,,,MIA 2,16,19,Connor Barth kicks extra point good,0.000,0.000
4,,,,TAM 30,16,19,"Connor Barth kicks off 74 yards, touchback",0.000,0.280
4,14:53,1,10,MIA 20,16,19,Chad Henne pass incomplete deep left intended for Ted Ginn,0.280,-0.270
4,14:46,2,10,MIA 20,16,19,"Chad Henne pass complete short left to Davone Bess for 15 yards (tackle by Ronde Barber). Penalty on Ronde Barber: Face Mask (15 Yards), 15 yards",-0.270,2.260
4,14:16,1,10,,16,19,Chad Henne pass incomplete short left intended for Ricky Williams,2.260,1.710
4,14:09,2,10,,16,19,Ricky Williams middle for 1 yard (tackle by Chris Hovan),1.710,1.160
4,13:31,3,9,TAM 49,16,19,"Chad Henne pass incomplete short left intended for Ricky Williams. Penalty on Sabby Piscitelli: Illegal Contact, 5 yards (no play)",1.160,2.650
4,13:24,1,10,TAM 44,16,19,Ricky Williams middle for 4 yards (tackle by Tanard Jackson),2.650,2.650
4,12:50,2,6,TAM 40,16,19,Chad Henne pass incomplete short right intended for Lousaka Polite (defended by Tim Crowder),2.650,1.950
4,12:45,3,6,TAM 40,16,19,Chad Henne pass incomplete deep right intended for Ricky Williams,1.950,0.590
4,12:38,4,6,TAM 40,16,19,"Brandon Fields punts 31 yards, fair catch by Clifton Smith",0.590,0.380
4,12:30,1,10,TAM 9,16,19,Derrick Ward right tackle for 4 yards (tackle by Channing Crowder),-0.380,-0.480
4,11:54,2,6,TAM 13,16,19,Derrick Ward right tackle for 3 yards (tackle by Channing Crowder),-0.480,-0.600
4,11:11,3,3,TAM 16,16,19,Josh Freeman pass incomplete short middle intended for Kellen Winslow,-0.600,-2.390
4,11:04,4,3,TAM 16,16,19,"Dirk Johnson punts 47 yards, returned by Davone Bess for -4 yards (tackle by Quincy Black)",-2.390,-1.140
4,10:52,1,10,MIA 33,16,19,Lousaka Polite middle for 12 yards (tackle by Sabby Piscitelli),1.140,1.930
4,10:16,1,10,MIA 45,16,19,Ricky Williams right end for 6 yards (tackle by Tanard Jackson),1.930,2.190
4,9:35,2,4,TAM 49,16,19,Lousaka Polite left tackle for 2 yards (tackle by Aqib Talib),2.190,1.750
4,8:50,3,2,TAM 47,16,19,Chad Henne pass complete short right to Kory Sperry for 13 yards (tackle by Ronde Barber),1.750,3.310
4,8:09,1,10,TAM 34,16,19,Ricky Williams middle for 2 yards (tackle by Jimmy Wilkerson),3.310,3.040
4,7:30,2,8,TAM 32,16,19,Ricky Williams right guard for 4 yards (tackle by Tanard Jackson and Ryan Sims),3.040,2.870
4,6:49,3,4,TAM 28,16,19,Ricky Williams right tackle for 1 yard (tackle by Barrett Ruud),2.870,1.770
4,6:09,4,3,TAM 27,16,22,Dan Carpenter 45 yard field goal good,1.770,3.000
4,,,,MIA 30,16,22,"Dan Carpenter kicks off 63 yards, returned by Clifton Smith for 25 yards",0.000,1.070
4,5:58,1,10,TAM 32,16,22,Cadillac Williams right tackle for 9 yards (tackle by Akin Ayodele and Gibril Wilson),1.070,1.740
4,5:25,2,1,TAM 41,16,22,Cadillac Williams left guard for 2 yards (tackle by Channing Crowder),1.740,1.800
4,4:43,1,10,TAM 43,16,22,Josh Freeman pass complete short right to Kellen Winslow for 11 yards,1.800,2.520
4,4:35,1,10,MIA 46,16,22,Cadillac Williams right tackle for 3 yards (tackle by Vontae Davis),2.520,2.380
4,3:53,2,7,MIA 43,16,22,Josh Freeman pass complete deep left to Kellen Winslow for 17 yards (tackle by Vontae Davis and Yeremiah Bell),2.380,3.840
4,3:10,1,10,MIA 26,16,22,Josh Freeman pass incomplete deep left intended for Cadillac Williams,3.840,3.300
4,3:01,2,10,MIA 26,16,22,Derrick Ward right guard for 4 yards (tackle by Phillip Merling),3.300,3.140
4,2:18,3,6,MIA 22,16,22,Josh Freeman pass incomplete deep right intended for Maurice Stovall (defended by Vontae Davis),3.140,2.020
4,2:10,4,6,MIA 22,16,22,Josh Freeman pass incomplete short left intended for Kellen Winslow,2.020,-0.410
4,2:04,1,10,MIA 22,16,22,Ricky Williams right end for 3 yards (tackle by Tanard Jackson),0.410,0.270
4,1:57,2,7,MIA 25,16,22,"Penalty on Nate Garner: False Start, 5 yards (no play)",0.270,-0.400
4,1:57,2,12,MIA 20,16,22,Ricky Williams left guard for 5 yards (tackle by Tanard Jackson and Sabby Piscitelli),-0.400,-0.430
4,1:52,,,,16,22,Timeout #2 by Tampa Bay Buccaneers,0.000,-0.430
4,1:52,3,7,MIA 25,16,22,Chad Henne pass incomplete short right intended for Brian Hartline is intercepted by Quincy Black at MIA-29 and returned for 3 yards,-0.430,-3.840
4,1:43,1,10,MIA 26,16,22,Josh Freeman for 14 yards,3.840,4.780
4,1:35,1,10,MIA 12,16,22,Josh Freeman pass complete short right to Kellen Winslow for 4 yards (tackle by Yeremiah Bell),4.780,4.830
4,1:29,,,,16,22,Timeout #1 by Miami Dolphins,0.000,4.830
4,1:29,2,6,MIA 8,16,22,Cadillac Williams right guard for 7 yards (tackle by Vontae Davis),4.830,6.970
4,1:19,,,,16,22,Timeout #2 by Miami Dolphins,0.000,6.970
4,1:19,1,1,MIA 1,22,22,"Cadillac Williams right guard for 1 yard, touchdown. Penalty on Kellen Winslow: Unsportsmanlike Conduct, 15 yards",6.970,7.000
4,,,,MIA 2,23,22,Connor Barth kicks extra point good,0.000,0.000
4,,,,TAM 15,23,22,"Connor Barth kicks off 71 yards, returned by Ted Ginn for 2 yards (tackle by Torrie Cox)",0.000,-0.140
4,1:10,1,10,MIA 16,23,22,Chad Henne pass complete deep middle to Davone Bess for 25 yards (tackle by Barrett Ruud),-0.140,1.660
4,0:47,1,10,MIA 41,23,22,"Chad Henne pass incomplete short middle intended for Joey Haynos. Penalty on Geno Hayes: Defensive Pass Interfere, 9 yards (no play)",1.660,2.260
4,0:41,1,10,,23,22,Chad Henne pass complete deep right to Davone Bess for 16 yards (tackle by Derrick Roberson),2.260,3.310
4,0:25,1,10,TAM 34,23,22,Chad Henne spiked the ball,3.310,2.770
4,0:23,,,,23,22,Timeout #3 by Tampa Bay Buccaneers,0.000,2.770
4,0:23,2,10,TAM 34,23,22,Ricky Williams right tackle for 27 yards (tackle by Geno Hayes),2.770,5.600
4,0:14,,,,23,22,Timeout #3 by Miami Dolphins,0.000,5.600
4,0:14,1,7,TAM 7,23,25,Dan Carpenter 25 yard field goal good,5.600,3.000
4,,,,MIA 30,23,25,"Dan Carpenter kicks off 75 yards, returned by Clifton Smith for 35 yards (tackle by Nate Jones)",0.000,0.940
4,0:04,1,10,TAM 30,23,25,"Josh Freeman pass complete short right to Maurice Stovall for 5 yards, lateral to Kellen Winslow for -3 yards, lateral to Sammie Stroughter for no gain (tackle by Yeremiah Bell)",0.940,1.070
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
