Unnamed: 0,KAN,SDG
First Downs,21,18
Rush-Yds-TDs,30-113-1,26-123-0
Cmp-Att-Yd-TD-INT,19-29-181-0-1,18-20-220-2-1
Sacked-Yards,1-5,1-4
Net Pass Yards,176,216
Total Yards,289,339
Fumbles-Lost,3-3,1-1
Turnovers,4,2
Penalties-Yards,5-37,8-54
Third Down Conv.,7-12,4-9
Fourth Down Conv.,0-0,0-0
Time of Possession,31:31,28:29
