Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Ryan Succop kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,SDG 20,0,0,Ryan Mathews up the middle for 8 yards (tackle by Eric Berry and Tamba Hali),0.280,0.810
1,14:27,2,2,SDG 28,0,0,Ryan Mathews left end for 1 yard (tackle by Glenn Dorsey and Dontari Poe),0.810,0.230
1,13:46,3,1,SDG 29,0,0,"Penalty on Jared Gaither: False Start, 4 yards (no play)",0.230,-0.300
1,13:20,3,5,SDG 25,0,0,Philip Rivers pass complete deep left to Seyi Ajirotutu for 28 yards (tackle by Eric Berry),-0.300,2.460
1,12:35,1,10,KAN 47,0,0,Philip Rivers pass complete deep left to Antonio Gates for 21 yards (tackle by Kendrick Lewis),2.460,3.840
1,11:51,1,10,KAN 26,0,0,Philip Rivers pass complete short right to Malcom Floyd for 7 yards (tackle by Jovan Belcher),3.840,4.270
1,11:14,2,3,KAN 19,0,0,Ryan Mathews right end for 5 yards (tackle by Justin Houston and Dontari Poe),4.270,4.650
1,10:31,1,10,KAN 14,0,6,"Philip Rivers pass complete short left to Antonio Gates for 14 yards, touchdown",4.650,7.000
1,10:31,,,KAN 2,0,7,Nick Novak kicks extra point good,0.000,0.000
1,10:24,,,SDG 35,0,7,"Nick Novak kicks off 67 yards, muffed catch by Shaun Draughn, recovered by Shaun Draughn at KC-8, and returned for 5 yards",0.000,-0.320
1,10:19,1,10,KAN 13,0,7,Jamaal Charles right end for 8 yards (tackle by Takeo Spikes and Atari Bigby),-0.320,0.350
1,9:42,2,2,KAN 21,0,7,Matt Cassel left end for 4 yards (tackle by Antoine Cason),0.350,0.610
1,9:03,1,10,KAN 25,0,7,Jamaal Charles right tackle for 2 yards (tackle by Aubrayo Franklin and Takeo Spikes),0.610,0.330
1,8:23,2,8,KAN 27,0,7,Matt Cassel pass incomplete short left intended for Jamaal Charles (defended by Corey Liuget),0.330,-0.360
1,8:19,3,8,KAN 27,0,7,Matt Cassel pass complete short right to Dwayne Bowe for 14 yards (tackle by Shaun Phillips and Atari Bigby),-0.360,1.660
1,7:42,1,10,KAN 41,0,7,Dexter McCluster for -2 yards (tackle by Quentin Jammer),1.660,0.850
1,7:11,2,12,KAN 39,0,7,Matt Cassel pass incomplete short right intended for Terrance Copper,0.850,0.170
1,7:07,3,12,KAN 39,0,7,Matt Cassel pass complete short right to Dexter McCluster for 12 yards (tackle by Marcus Gilchrist),0.170,2.320
1,6:26,1,10,SDG 49,0,7,Jamaal Charles left end for no gain (tackle by Melvin Ingram),2.320,1.780
1,5:42,2,10,SDG 49,0,7,Matt Cassel pass incomplete short left intended for Jonathan Baldwin,1.780,1.090
1,5:37,3,10,SDG 49,0,7,Matt Cassel pass complete short left to Dwayne Bowe for 11 yards (tackle by Eric Weddle),1.090,3.050
1,5:08,1,10,SDG 38,0,7,Peyton Hillis up the middle for 2 yards (tackle by Donald Butler and Takeo Spikes),3.050,2.780
1,4:33,2,8,SDG 36,0,7,Matt Cassel pass complete short middle to Dwayne Bowe for 7 yards (tackle by Donald Butler),2.780,3.010
1,3:54,3,1,SDG 29,0,7,Peyton Hillis right guard for 1 yard (tackle by Atari Bigby and Takeo Spikes),3.010,3.710
1,3:15,1,10,SDG 28,0,7,Jamaal Charles left end for -5 yards (tackle by Eric Weddle),3.710,2.490
1,2:32,2,15,SDG 33,0,7,Matt Cassel pass incomplete short right intended for Dexter McCluster,2.490,1.820
1,2:27,3,15,SDG 33,0,7,"Matt Cassel pass complete short right to Dwayne Bowe for 10 yards (tackle by Demorrio Williams and Melvin Ingram). Dwayne Bowe fumbles (forced by Demorrio Williams), recovered by Quentin Jammer at SDG-22 (tackle by Eric Winston)",1.820,-0.410
1,2:18,1,10,SDG 22,0,7,Ryan Mathews left tackle for 4 yards (tackle by Derrick O. Johnson),0.410,0.410
1,1:37,2,6,SDG 26,0,7,Ryan Mathews left end for 4 yards (tackle by Jovan Belcher and Tamba Hali),0.410,0.230
1,0:52,3,2,SDG 30,0,7,"Penalty on Justin Houston: Neutral Zone Infraction, 5 yards (no play)",0.230,1.270
1,0:35,1,10,SDG 35,0,7,"Penalty on Jared Gaither: False Start, 5 yards (no play)",1.270,0.940
1,0:10,1,15,SDG 30,0,7,Philip Rivers pass complete short left to Danario Alexander for 11 yards (tackle by Javier Arenas),0.940,1.530
Quarter,Time,Down,ToGo,Location,KAN,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,SDG 41,0,7,Ryan Mathews right end for 3 yards (tackle by Brandon Flowers and Justin Houston),1.530,1.220
2,14:16,3,1,SDG 44,0,7,Jackie Battle right tackle for 3 yards (tackle by Derrick O. Johnson),1.220,2.060
2,13:37,1,10,SDG 47,0,7,Philip Rivers pass complete short right to Ryan Mathews for 6 yards (tackle by Justin Houston),2.060,2.330
2,12:51,2,4,KAN 47,0,7,Ryan Mathews left end for 2 yards (tackle by Javier Arenas),2.330,1.880
2,12:07,3,2,KAN 45,0,7,Philip Rivers pass complete short left to Danario Alexander for 30 yards (tackle by Abram Elam and Derrick O. Johnson),1.880,4.580
2,11:18,1,10,KAN 15,0,7,Ryan Mathews left end for -2 yards (tackle by Javier Arenas),4.580,3.680
2,10:40,2,12,KAN 17,0,7,Philip Rivers pass complete short left to Ronnie Brown for 3 yards (tackle by Tamba Hali),3.680,0.000
2,9:56,,,,0,7,Timeout #1 by San Diego Chargers,0.000,3.240
2,9:56,3,9,KAN 14,0,7,Philip Rivers pass complete short left to Ronnie Brown for 7 yards (tackle by Eric Berry and Travis Daniels),3.240,3.000
2,9:13,4,2,KAN 7,0,10,Nick Novak 25 yard field goal good,3.000,3.000
2,9:10,,,SDG 35,0,10,"Nick Novak kicks off 73 yards, returned by Shaun Draughn for 28 yards (tackle by Atari Bigby)",0.000,0.280
2,9:05,1,10,KAN 20,0,10,Jamaal Charles right tackle for no gain (tackle by Aubrayo Franklin and Atari Bigby),0.280,-0.270
2,8:21,2,10,KAN 20,0,10,Matt Cassel up the middle for 8 yards (tackle by Donald Butler),-0.270,0.000
2,7:38,,,,0,10,Timeout #1 by Kansas City Chiefs,0.000,0.100
2,7:38,3,2,KAN 28,0,10,Matt Cassel pass complete short left to Dwayne Bowe for 9 yards (tackle by Antoine Cason),0.100,1.400
2,7:04,1,10,KAN 37,0,10,Jamaal Charles right tackle for 4 yards (tackle by Corey Liuget and Vaughn Martin),1.400,1.400
2,6:22,2,6,KAN 41,0,10,Peyton Hillis right end for 1 yard (tackle by Eric Weddle and Vaughn Martin),1.400,0.830
2,5:43,3,5,KAN 42,0,10,"Matt Cassel pass incomplete deep right intended for Dwayne Bowe. Penalty on Antwan Barnes: Neutral Zone Infraction, 5 yards (no play)",0.830,2.060
2,5:37,1,10,KAN 47,0,10,Dexter McCluster right end for 13 yards (tackle by Atari Bigby),2.060,2.920
2,4:55,1,10,SDG 40,0,10,Matt Cassel pass complete short middle to Jamaal Charles for 3 yards (tackle by Jarret Johnson and Corey Liuget),2.920,2.780
2,4:17,2,7,SDG 37,0,10,Dexter McCluster up the middle for 6 yards (tackle by Corey Liuget),2.780,2.870
2,3:40,3,1,SDG 31,0,10,Peyton Hillis up the middle for no gain (tackle by Donald Butler and Antonio Garay),2.870,1.410
2,2:56,4,1,SDG 31,3,10,Ryan Succop 49 yard field goal good,1.410,3.000
2,2:51,,,KAN 35,3,10,"Ryan Succop kicks off 67 yards, returned by Curtis Brinkley for 24 yards (tackle by Terrance Copper). Penalty on Javier Arenas: Unnecessary Roughness, 15 yards, Penalty on Edgar Jones: Unnecessary Roughness (Declined)",0.000,1.400
2,2:45,1,10,SDG 37,3,10,Philip Rivers pass complete deep middle to Malcom Floyd for 16 yards (tackle by Javier Arenas),1.400,2.460
2,2:15,1,10,KAN 47,3,10,Philip Rivers pass complete short left to Malcom Floyd for 12 yards (tackle by Javier Arenas),2.460,3.250
2,2:00,1,10,KAN 35,3,10,Philip Rivers pass complete short right to Ronnie Brown for 9 yards (tackle by Javier Arenas),3.250,3.920
