Quarter,Time,Down,ToGo,Location,LAC,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 66 yards, returned by Desmond King for 27 yards (tackle by Tavon Wilson)",0.000,0.670
1,14:54,1,10,LAC 26,0,0,Philip Rivers pass incomplete short middle intended for Keenan Allen (defended by Christian Jones),0.670,0.130
1,14:48,2,10,LAC 26,0,0,Austin Ekeler right tackle for 3 yards (tackle by Trey Flowers and Christian Jones),0.130,-0.160
1,14:05,3,7,LAC 29,0,0,Philip Rivers pass incomplete short middle intended for Keenan Allen (defended by Darius Slay),-0.160,-1.440
1,14:00,4,7,LAC 29,0,0,"Ty Long punts 55 yards, returned by Jamal Agnew for 5 yards (tackle by Adrian Phillips and Isaac Rochell)",-1.440,-0.340
1,13:48,1,10,DET 21,0,0,Kerryon Johnson left tackle for 2 yards (tackle by Melvin Ingram and Justin Jones),0.340,0.070
1,13:20,2,8,DET 23,0,0,Kerryon Johnson right tackle for 1 yard (tackle by Joey Bosa and Brandon Mebane),0.070,-0.490
1,12:36,3,7,DET 24,0,0,Matthew Stafford pass incomplete short right intended for T.J. Hockenson,-0.490,-1.770
1,12:32,4,7,DET 24,0,0,Sam Martin punts 44 yards out of bounds,-1.770,-1.070
1,12:21,1,10,LAC 32,0,0,Austin Ekeler up the middle for 2 yards (tackle by Jahlani Tavai),1.070,0.800
1,11:41,2,8,LAC 34,0,0,Philip Rivers pass complete deep right to Austin Ekeler for 35 yards (tackle by Tracy Walker),0.800,3.510
1,10:57,1,10,DET 31,0,0,Philip Rivers pass complete short left to Keenan Allen for 12 yards (tackle by Rashaan Melvin),3.510,4.310
1,10:22,1,10,DET 19,0,0,Justin Jackson right tackle for 6 yards (tackle by Jahlani Tavai and Devon Kennard),4.310,4.720
1,9:39,2,4,DET 13,0,0,Philip Rivers pass incomplete short left intended for Mike Williams (defended by Rashaan Melvin),4.720,3.960
1,9:33,3,4,DET 13,0,0,Philip Rivers pass complete short right to Keenan Allen for 10 yards (tackle by Darius Slay),3.960,6.510
1,8:49,1,3,DET 3,0,0,Austin Ekeler up the middle for 2 yards (tackle by Damon Harrison and Quandre Diggs),6.510,5.910
1,8:07,2,1,DET 1,0,0,Philip Rivers pass incomplete short right intended for Mike Williams,5.910,5.170
1,8:02,,,,,,Timeout #1 by Los Angeles Chargers,,
1,8:02,3,1,DET 1,6,0,"Austin Ekeler up the middle for 1 yard, touchdown",5.170,7.000
1,7:57,,,DET 15,7,0,Ty Long kicks extra point good,0.000,0.000
1,7:57,,,LAC 35,7,0,"Ty Long kicks off 65 yards, touchback.",0.000,0.610
1,7:57,1,10,DET 25,7,0,Matthew Stafford pass complete short left to T.J. Hockenson for 7 yards (tackle by Adrian Phillips),0.610,1.010
1,7:25,2,3,DET 32,7,0,Kerryon Johnson right tackle for 4 yards (tackle by Brandon Mebane and Thomas Davis),1.010,1.330
1,6:51,1,10,DET 36,7,0,Matthew Stafford pass complete short left to Jesse James for 6 yards (tackle by Adrian Phillips),1.330,1.600
1,6:14,2,4,DET 42,7,0,Matthew Stafford pass complete short left to Kenny Golladay for 11 yards (tackle by Brandon Facyson),1.600,2.460
1,5:37,1,10,LAC 47,7,0,Kerryon Johnson up the middle for 7 yards (tackle by Adrian Phillips and Melvin Ingram),2.460,2.860
1,5:02,2,3,LAC 40,7,0,Kerryon Johnson right tackle for 4 yards (tackle by Uchenna Nwosu and Thomas Davis),2.860,3.180
1,4:26,1,10,LAC 36,7,0,Matthew Stafford pass incomplete deep right intended for Jesse James,3.180,2.640
1,4:20,2,10,LAC 36,7,6,"Matthew Stafford pass complete short right to Kerryon Johnson for 36 yards, touchdown",2.640,7.000
1,4:10,,,LAC 15,7,6,Matt Prater kicks extra point no good wide left,0.000,-1.000
1,4:10,,,DET 35,7,6,"Sam Martin kicks off 65 yards, touchback.",0.000,0.610
1,4:10,1,10,LAC 25,7,6,Philip Rivers pass complete short right to Keenan Allen for 6 yards (tackle by Jahlani Tavai),0.610,0.870
1,3:24,2,4,LAC 31,7,6,Austin Ekeler right tackle for 1 yard (tackle by Tavon Wilson and Tracy Walker),0.870,0.300
1,2:36,3,3,LAC 32,7,6,Philip Rivers sacked by and Romeo Okwara for -6 yards,0.300,-1.630
1,2:00,4,9,LAC 26,7,6,"Ty Long punts 51 yards, returned by Jamal Agnew for 1 yard (tackle by Derek Watt). Penalty on Miles Killebrew: Offensive Holding, 10 yards",-1.630,0.280
1,1:49,1,10,DET 14,7,6,Kerryon Johnson left tackle for 9 yards (tackle by Thomas Davis),-0.280,0.550
1,1:15,2,1,DET 23,7,6,Kerryon Johnson up the middle for 4 yards (tackle by Adrian Phillips),0.550,0.740
1,0:42,1,10,DET 27,7,6,C.J. Anderson up the middle for no gain (tackle by Joey Bosa),0.740,0.200
Quarter,Time,Down,ToGo,Location,LAC,DET,Detail,EPB,EPA
